manifold,word,length,phi_deg,phi_used,folding,target,target_val,abs_err,rel_err_pct,type,ratio_val
m003,BBBB/ABBB,4,,,ratio,mb_mc,3.2913,0.0003,0.01,ratio,3.291
m003,BBBB/AA,4,,,ratio,mb_mc,3.2913,0.0003,0.01,ratio,3.291
m006,AABBB/AAAB,5,,,ratio,MZ_MW,1.1345,0.001,0.09,ratio,1.1355
m006,AABBB/AABAB,5,,,ratio,MZ_MW,1.1345,0.001,0.09,ratio,1.1355
m003,ABBBB/AAAB,5,,,ratio,MZ_MW,1.1345,0.0011,0.1,ratio,1.1334
m003,ABAbb/AB,5,,,ratio,mb_mc,3.2913,0.0037,0.11,ratio,3.2876
m003,AAAAB/ABBab,5,,,ratio,MZ_MW,1.1345,0.0024,0.21,ratio,1.1369
m006,Abbbb/AAb,5,,,ratio,MZ_MW,1.1345,0.0027,0.24,ratio,1.1318
m006,Abbbb/AAbb,5,,,ratio,MZ_MW,1.1345,0.0027,0.24,ratio,1.1318
m006,ABBab/BBB,5,,,ratio,MZ_MW,1.1345,0.0028,0.25,ratio,1.1373
m003,ABAbb/BBB,5,,,ratio,MZ_MW,1.1345,0.003,0.27,ratio,1.1375
m003,AAbbb/ABB,5,,,ratio,mb_mc,3.2913,0.0114,0.35,ratio,3.2799
m006,ABab/AABBB,5,,,ratio,MZ_MW,1.1345,0.0042,0.37,ratio,1.1387
m006,AAAAb/AABBB,5,,,ratio,MZ_MW,1.1345,0.0043,0.38,ratio,1.1302
m003,AABBB/AAAAB,5,,,ratio,MZ_MW,1.1345,0.005,0.44,ratio,1.1295
m006,ABBB/B,4,,,ratio,MZ_MW,1.1345,0.0053,0.46,ratio,1.1398
m006,Abb/B,3,,,ratio,MZ_MW,1.1345,0.0053,0.46,ratio,1.1398
m006,B,1,89.156,90.844,180-phi,7xtheta12_CKM,91.28,0.436,0.48,angle,
m003,AAB/AAb,3,,,ratio,MZ_MW,1.1345,0.0057,0.5,ratio,1.1402
m006,AAbbb,5,67.654,67.654,direct,delta_CKM,68.0,0.346,0.51,angle,
m006,AA,2,112.346,67.654,180-phi,delta_CKM,68.0,0.346,0.51,angle,
m006,AbAbb/AABB,5,,,ratio,MZ_MW,1.1345,0.006,0.53,ratio,1.1405
m006,AAbab/ABB,5,,,ratio,mb_mc,3.2913,0.019,0.58,ratio,3.3103
m006,AAbab/Ab,5,,,ratio,mb_mc,3.2913,0.019,0.58,ratio,3.3103
m003,AAAB,4,90.75,90.75,direct,7xtheta12_CKM,91.28,0.53,0.58,angle,
m006,ABBab,5,146.38,33.62,180-phi,theta12_NU,33.41,0.21,0.63,angle,
m003,ABBBB/ABaB,5,,,ratio,mb_mc,3.2913,0.0212,0.64,ratio,3.2701
m003,AAAAb/ABB,5,,,ratio,mb_mc,3.2913,0.0226,0.69,ratio,3.2687
m003,ABB/A,3,,,ratio,MZ_MW,1.1345,0.0082,0.72,ratio,1.1427
m003,BBBB/AABab,5,,,ratio,mb_mc,3.2913,0.0248,0.75,ratio,3.2665
m003,AAABB/B,5,,,ratio,mb_mc,3.2913,0.0256,0.78,ratio,3.3169
m003,AAABB/AAbab,5,,,ratio,mb_mc,3.2913,0.0256,0.78,ratio,3.3169
m006,AABab/AAbab,5,,,ratio,MZ_MW,1.1345,0.0089,0.79,ratio,1.1256
m003,AAAAA/BB,5,,,ratio,mb_mc,3.2913,0.0262,0.8,ratio,3.2651
m003,AAAB,4,90.75,90.75,direct,90deg,90.0,0.75,0.83,angle,
m006,AAABB/ABab,5,,,ratio,MZ_MW,1.1345,0.0094,0.83,ratio,1.1439
m003,AAAB,4,90.75,89.25,180-phi,90deg,90.0,0.75,0.83,angle,
m003,BBBB,4,112.572,67.428,180-phi,delta_CKM,68.0,0.572,0.84,angle,
m003,BBB/ABaB,4,,,ratio,mb_mc,3.2913,0.0278,0.84,ratio,3.3191
m003,BBB/AABB,4,,,ratio,MZ_MW,1.1345,0.01,0.88,ratio,1.1245
m006,B,1,89.156,89.156,direct,90deg,90.0,0.844,0.94,angle,
m006,B,1,89.156,90.844,180-phi,90deg,90.0,0.844,0.94,angle,
m006,BBBB/ABBab,5,,,ratio,MZ_MW,1.1345,0.0108,0.95,ratio,1.1237
m003,AAAA/ABB,4,,,ratio,mb_mc,3.2913,0.0315,0.96,ratio,3.3228
m006,AAbab/AAAAB,5,,,ratio,MZ_MW,1.1345,0.0118,1.04,ratio,1.1463
m003,BBBBB/AAAB,5,,,ratio,mb_mc,3.2913,0.0357,1.09,ratio,3.2556
m006,AAAB/BBBBB,5,,,ratio,MZ_MW,1.1345,0.0128,1.12,ratio,1.1217
m006,AABAB/BBBBB,5,,,ratio,MZ_MW,1.1345,0.0128,1.12,ratio,1.1217
m003,AAAb/AAbb,4,,,ratio,MZ_MW,1.1345,0.013,1.14,ratio,1.1215
m006,BB/ABBB,4,,,ratio,MZ_MW,1.1345,0.0132,1.16,ratio,1.1213
m006,BB/Abb,3,,,ratio,MZ_MW,1.1345,0.0132,1.16,ratio,1.1213
m006,ABBaB/ABBB,5,,,ratio,MZ_MW,1.1345,0.0132,1.16,ratio,1.1213
