manifold,words,scale,signs,fitness,l21,l31,l32
m003,abA/bbb/bAb,2.2,"1,1,1",0.026266,0.5822,-1.3749,-1.8318
m003,aBB/baa/bAB,1.4,"1,1,-1",0.022383,0.6089,-1.3747,0.8315
m007,bbb/AbA/AAb,1.9,"1,1,1",0.025482,0.5744,1.3635,-0.8296
m003,bA/Ba/aBB,2.0,"1,1,1",0.029123,-0.6168,-1.3623,1.7801
m004,BA/baB/ABA,1.0,"1,1,1",0.023393,-0.4525,0.5275,0.4228
m004,aBa/Aba/Abb,1.8,"1,1,-1",0.022816,-0.6018,-1.4113,-0.8536
m009,AA/BB/ABB,2.4,"1,1,-1",0.027136,0.4285,0.5166,1.8458
m003,aa/bA/AAb,1.4,"1,1,-1",0.020854,0.5897,-1.3693,0.8312
m003,aBB/ABA/ABB,2.1,"1,1,1",0.020189,-0.5954,-1.3918,1.8401
m004,aBa/baa/bab,1.2,"1,1,1",0.020952,0.4483,0.5327,-0.4375
m004,AB/aBA/Baa,3.4,"1,1,1",0.021924,0.6034,-1.3725,-1.8077
m004,aaa/baa/bAA,1.4,"1,1,-1",0.021154,0.5889,-1.3704,0.8246
m003,ab/aaa/abA,1.4,"1,1,-1",0.021218,-0.5986,-1.3757,-0.8194
m007,AB/aaa/bAB,2.6,"1,1,-1",0.020947,0.6048,-1.3766,-1.8245
m007,bb/bA/bbb,0.6,"1,1,-1",0.025563,0.4462,0.5145,-0.4368
m007,aBa/bbb/AAb,1.1,"1,1,1",0.019354,-0.4429,0.5269,0.4345
m006,abA/bab/bAA,2.9,"1,1,1",0.024622,-0.6028,1.3964,-1.8153
m003,ab/aaa/aBA,1.4,"1,1,-1",0.021788,-0.5965,1.3652,0.8285
m006,AB/aba/bAb,0.6,"1,1,-1",0.021562,0.4369,0.5354,-0.4336
m015,aaa/bbA/bAb,0.7,"1,1,-1",0.023082,-0.4337,-0.5356,-0.4335
m007,Aba/AAb/ABA,0.6,"1,1,-1",0.025135,0.4481,0.5263,-0.417
m009,Ba/aBa/AAA,2.1,"1,1,-1",0.025548,-0.5837,1.4029,0.85
m010,baa/AbA/AAb,0.6,"1,1,-1",0.022262,0.4333,0.5279,-0.4278
m009,ab/aBa/Abb,0.6,"1,1,-1",0.020643,0.449,-0.5268,0.4282
m011,AA/AB/aBB,1.7,"1,1,-1",0.024751,0.4332,-0.5229,0.4438
m006,Ba/aba/aBA,1.8,"1,1,1",0.025498,-0.4407,-0.5239,1.7979
m007,aB/aba/aBB,1.4,"1,1,-1",0.0244,0.5967,1.3649,-0.8552
m009,ba/abb/bbb,1.5,"1,1,-1",0.023589,0.6092,1.4173,-0.85
m016,bb/aaa/bbb,0.6,"1,1,-1",0.01981,-0.4432,0.5336,0.427
m007,bb/bA/bbb,0.6,"1,1,-1",0.019501,0.4456,0.5302,-0.4276
