w1,w2,w3,alpha,scale,fitness,J,J_err,joint_loss
Ba,baB,BBa,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ba,baB,Abb,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ab,bAB,BBa,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ab,bAB,Abb,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ba,bAB,Abb,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ba,bAB,BBa,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ab,baB,BBa,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ab,baB,Abb,0.9,2.10136,0.019611,-0.012568,0.002908,0.028334
Ab,baB,Abb,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ab,baB,BBa,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ba,bAB,BBa,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ba,bAB,Abb,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ab,bAB,Abb,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ab,bAB,BBa,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ba,baB,Abb,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ba,baB,BBa,1.0,2.10647,0.026806,-0.010749,0.001089,0.030074
Ba,baB,BBa,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ba,baB,Abb,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ab,bAB,BBa,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ab,bAB,Abb,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ba,bAB,BBa,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ba,bAB,Abb,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ab,baB,BBa,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ab,baB,Abb,1.1,2.12698,0.035036,-0.009802,0.000142,0.035461
Ba,bbA,aBb,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,AaA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,AbB,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,aaA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,bBA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,bBa,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,bbA,Bba,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ab,aBB,aaA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ab,bbA,bBA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,aBB,aAa,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,aBB,AbB,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,aBB,AAa,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,aBB,BbA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ab,aBB,aAA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ab,aBB,AaA,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
Ba,aBB,ABb,0.9,1.8105,0.019783,-0.017026,0.007366,0.041882
