manifold_e,manifold_nu,fitness,fit_e,fit_nu
m003,m003,1.341284,0.3201,0.3197
m003,m007,1.347687,0.3201,0.321
m003,m003,1.351163,0.3201,0.3194
m003,m004,1.356314,0.3201,0.3254
m003,m004,1.343481,0.3201,0.3192
m003,m009,1.355889,0.3201,0.3218
m003,m003,1.338742,0.3201,0.3204
m003,m003,1.347913,0.3201,0.3197
m003,m004,1.341517,0.3201,0.3224
m003,m004,1.351324,0.3201,0.3193
m003,m004,1.349235,0.3201,0.3201
m003,m003,1.338105,0.3201,0.3215
m003,m007,1.351756,0.3201,0.3233
m003,m007,1.331041,0.3201,0.3236
m003,m007,1.354059,0.3201,0.3212
m003,m006,1.345612,0.3201,0.3198
m003,m003,1.341858,0.3201,0.3204
m003,m006,1.355303,0.3201,0.3224
m003,m015,1.354292,0.3201,0.3208
m003,m007,1.347529,0.3201,0.3274
m003,m009,1.338149,0.3201,0.321
m003,m010,1.341146,0.3201,0.3199
m003,m009,1.330818,0.3201,0.327
m003,m011,1.33576,0.3201,0.3213
m003,m006,1.349926,0.3201,0.3206
m003,m007,1.352488,0.3201,0.3224
m003,m009,1.349799,0.3201,0.3237
m003,m016,1.355933,0.3201,0.3223
m003,m007,1.359592,0.3201,0.3259
m003,m006,1.341329,0.3201,0.3215
m003,m017,1.344863,0.3201,0.3198
m003,m006,1.348786,0.3201,0.3188
m003,m010,1.348561,0.3201,0.3193
m003,m011,1.342395,0.3201,0.3207
m003,m006,1.338728,0.3201,0.3213
m003,m006,1.346026,0.3201,0.3194
m003,m009,1.350565,0.3201,0.321
m003,m006,1.352684,0.3201,0.3226
m003,m006,1.339949,0.3201,0.321
m003,m017,1.347201,0.3201,0.3227
m003,m023,1.357377,0.3201,0.3228
m003,m007,1.350723,0.3201,0.3195
m003,m006,1.354456,0.3201,0.3206
m003,m036,1.336589,0.3201,0.3226
m003,m015,1.336787,0.3201,0.3215
m003,m016,1.348143,0.3201,0.3247
m003,m010,1.346547,0.3201,0.3201
m003,m019,1.358875,0.3201,0.3267
m003,m011,1.339616,0.3201,0.3204
m003,m010,1.335014,0.3201,0.323
m003,m007,1.347932,0.3201,0.3212
m003,m010,1.348917,0.3201,0.3204
m003,m016,1.338381,0.3201,0.3219
m003,m009,1.350585,0.3201,0.3218
m003,m009,1.336833,0.3201,0.322
m003,m007,1.335107,0.3201,0.3215
m003,m015,1.342793,0.3201,0.3223
m003,m010,1.353076,0.3201,0.3239
m003,m016,1.345643,0.3201,0.3223
m003,m003,1.336686,0.3197,0.3201
m003,m007,1.333319,0.3197,0.321
m003,m003,1.336854,0.3197,0.3194
m003,m004,1.342379,0.3197,0.3254
m003,m004,1.329133,0.3197,0.3192
m003,m009,1.341628,0.3197,0.3218
m003,m003,1.324178,0.3197,0.3204
m003,m003,1.333699,0.3197,0.3197
m003,m004,1.327372,0.3197,0.3224
m003,m004,1.337015,0.3197,0.3193
m003,m004,1.335084,0.3197,0.3201
m003,m003,1.3235,0.3197,0.3215
m003,m007,1.337742,0.3197,0.3233
m003,m007,1.316446,0.3197,0.3236
m003,m007,1.339704,0.3197,0.3212
m003,m006,1.331392,0.3197,0.3198
m003,m003,1.32749,0.3197,0.3204
m003,m006,1.341208,0.3197,0.3224
m003,m015,1.339964,0.3197,0.3208
m003,m007,1.333689,0.3197,0.3274
m003,m009,1.323701,0.3197,0.321
m003,m010,1.326599,0.3197,0.3199
m003,m009,1.316147,0.3197,0.327
m003,m011,1.321162,0.3197,0.3213
m003,m006,1.335755,0.3197,0.3206
m003,m007,1.338276,0.3197,0.3224
m003,m009,1.335479,0.3197,0.3237
m003,m016,1.341835,0.3197,0.3223
m003,m007,1.345352,0.3197,0.3259
m003,m006,1.32672,0.3197,0.3215
m003,m017,1.330323,0.3197,0.3198
m003,m006,1.334454,0.3197,0.3188
m003,m010,1.334132,0.3197,0.3193
m003,m011,1.328032,0.3197,0.3207
m003,m006,1.324428,0.3197,0.3213
m003,m006,1.331645,0.3197,0.3194
m003,m009,1.336355,0.3197,0.321
m003,m006,1.338624,0.3197,0.3226
m003,m006,1.325391,0.3197,0.321
m003,m017,1.332926,0.3197,0.3227
m003,m023,1.34321,0.3197,0.3228
m003,m007,1.336495,0.3197,0.3195
m003,m006,1.340204,0.3197,0.3206
m003,m036,1.322015,0.3197,0.3226
m003,m015,1.322404,0.3197,0.3215
m003,m016,1.333705,0.3197,0.3247
m003,m010,1.33236,0.3197,0.3201
m003,m019,1.344553,0.3197,0.3267
m003,m011,1.325055,0.3197,0.3204
m003,m010,1.320433,0.3197,0.323
m003,m007,1.333725,0.3197,0.3212
m003,m010,1.3345,0.3197,0.3204
m003,m016,1.323855,0.3197,0.3219
m003,m009,1.336359,0.3197,0.3218
m003,m009,1.322476,0.3197,0.322
m003,m007,1.320627,0.3197,0.3215
m003,m015,1.328591,0.3197,0.3223
m003,m010,1.338697,0.3197,0.3239
m003,m016,1.331264,0.3197,0.3223
m007,m003,1.346211,0.321,0.3201
m007,m003,1.336445,0.321,0.3197
m007,m003,1.346313,0.321,0.3194
m007,m004,1.351574,0.321,0.3254
m007,m004,1.338634,0.321,0.3192
m007,m009,1.351043,0.321,0.3218
m007,m003,1.33383,0.321,0.3204
m007,m003,1.343102,0.321,0.3197
m007,m004,1.336742,0.321,0.3224
m007,m004,1.346473,0.321,0.3193
m007,m004,1.344442,0.321,0.3201
m007,m003,1.333181,0.321,0.3215
m007,m007,1.347003,0.321,0.3233
m007,m007,1.326129,0.321,0.3236
m007,m007,1.349187,0.321,0.3212
m007,m006,1.340803,0.321,0.3198
m007,m003,1.337008,0.321,0.3204
m007,m006,1.350513,0.321,0.3224
m007,m015,1.349428,0.321,0.3208
m007,m007,1.342844,0.321,0.3274
m007,m009,1.333278,0.321,0.321
m007,m010,1.336236,0.321,0.3199
m007,m009,1.325883,0.321,0.327
m007,m011,1.330841,0.321,0.3213
m007,m006,1.345126,0.321,0.3206
m007,m007,1.34767,0.321,0.3224
m007,m009,1.344953,0.321,0.3237
m007,m016,1.351141,0.321,0.3223
m007,m007,1.354744,0.321,0.3259
m007,m006,1.336398,0.321,0.3215
m007,m017,1.339949,0.321,0.3198
m007,m006,1.343934,0.321,0.3188
m007,m010,1.343677,0.321,0.3193
m007,m011,1.337546,0.321,0.3207
m007,m006,1.333905,0.321,0.3213
m007,m006,1.341164,0.321,0.3194
m007,m009,1.345751,0.321,0.321
m007,m006,1.347914,0.321,0.3226
m007,m006,1.335038,0.321,0.321
m007,m017,1.342374,0.321,0.3227
m007,m023,1.352558,0.321,0.3228
m007,m007,1.345901,0.321,0.3195
m007,m006,1.349617,0.321,0.3206
m007,m036,1.331678,0.321,0.3226
m007,m015,1.33194,0.321,0.3215
m007,m016,1.343261,0.321,0.3247
m007,m010,1.341748,0.321,0.3201
m007,m019,1.354003,0.321,0.3267
m007,m011,1.334704,0.321,0.3204
m007,m010,1.330103,0.321,0.323
m007,m007,1.343125,0.321,0.3212
m007,m010,1.344037,0.321,0.3204
m007,m016,1.333484,0.321,0.3219
m007,m009,1.345766,0.321,0.3218
m007,m009,1.331994,0.321,0.322
m007,m007,1.330229,0.321,0.3215
m007,m015,1.337998,0.321,0.3223
m007,m010,1.348202,0.321,0.3239
m007,m016,1.340784,0.321,0.3223
m003,m003,1.349635,0.3194,0.3201
m003,m003,1.339772,0.3194,0.3197
m003,m007,1.346201,0.3194,0.321
m003,m004,1.355218,0.3194,0.3254
m003,m004,1.341983,0.3194,0.3192
m003,m009,1.354579,0.3194,0.3218
m003,m003,1.337079,0.3194,0.3204
m003,m003,1.346539,0.3194,0.3197
m003,m004,1.340106,0.3194,0.3224
m003,m004,1.349934,0.3194,0.3193
m003,m004,1.347915,0.3194,0.3201
