index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.574393,0.00e+00,1.0000,0.0084,0.0001,0.0070,0.8311,0.5560,0.0046,0.5560,0.8312
1,m003,0.981369,0.665587,0.00e+00,0.7853,0.5721,0.2368,0.6044,0.6254,0.4934,0.1342,0.5306,0.8369
2,m007,1.014942,0.494554,0.00e+00,0.9218,0.3598,0.1447,0.3849,0.8039,0.4533,0.0467,0.4736,0.8795
3,m003,1.263709,0.645725,0.00e+00,0.7852,0.6190,0.0193,0.5318,0.6581,0.5330,0.3172,0.4287,0.8459
4,m004,1.284485,0.707933,0.00e+00,0.7082,0.1148,0.6966,0.1858,0.9822,0.0271,0.6811,0.1486,0.7169
5,m004,1.398509,0.370089,0.00e+00,0.8507,0.5106,0.1251,0.5142,0.8577,0.0038,0.1092,0.0611,0.9921
6,m009,1.414061,1.023662,0.00e+00,0.6367,0.7132,0.2931,0.5861,0.2007,0.7850,0.5010,0.6716,0.5458
7,m003,1.414061,0.300872,0.00e+00,1.0000,0.0018,0.0027,0.0014,0.9904,0.1380,0.0029,0.1380,0.9904
8,m003,1.423612,0.521867,0.00e+00,0.9999,0.0074,0.0094,0.0018,0.8703,0.4925,0.0118,0.4924,0.8703
9,m004,1.440699,0.285668,0.00e+00,1.0000,0.0007,0.0043,0.0005,0.9991,0.0427,0.0043,0.0427,0.9991
10,m004,1.463777,0.273637,0.00e+00,0.9999,0.0163,0.0004,0.0163,0.9980,0.0605,0.0005,0.0605,0.9982
11,m004,1.529477,0.193871,0.00e+00,0.9924,0.1204,0.0241,0.1202,0.9927,0.0072,0.0248,0.0042,0.9997
12,m003,1.543569,0.649306,0.00e+00,1.0000,0.0049,0.0004,0.0035,0.7702,0.6378,0.0034,0.6378,0.7702
13,m007,1.543569,0.483505,0.00e+00,0.9865,0.1526,0.0595,0.1621,0.8588,0.4861,0.0231,0.4892,0.8719
14,m007,1.583167,0.310107,0.00e+00,0.9998,0.0218,0.0035,0.0220,0.9805,0.1954,0.0008,0.1954,0.9807
15,m007,1.583167,0.963599,0.00e+00,0.7041,0.1938,0.6831,0.6752,0.4805,0.5597,0.2198,0.8553,0.4691
16,m006,1.588647,0.567877,0.00e+00,0.9506,0.2988,0.0835,0.2915,0.7681,0.5701,0.1062,0.5663,0.8174
17,m003,1.588647,0.547466,0.00e+00,0.8058,0.3963,0.4399,0.2905,0.9120,0.2895,0.5160,0.1055,0.8501
18,m006,1.649610,0.775386,0.00e+00,0.7929,0.6093,0.0000,0.4309,0.5607,0.7071,0.4309,0.5607,0.7071
19,m015,1.757126,0.567778,0.00e+00,0.9993,0.0341,0.0132,0.0357,0.8295,0.5573,0.0081,0.5574,0.8302
20,m007,1.824344,0.690100,0.00e+00,0.7535,0.0116,0.6573,0.0258,0.9996,0.0120,0.6569,0.0260,0.7535
21,m009,1.831931,0.948658,0.00e+00,0.6592,0.7108,0.2456,0.6011,0.3018,0.7400,0.4519,0.6354,0.6262
22,m010,1.831931,0.691620,0.00e+00,0.8567,0.5126,0.0576,0.3519,0.6624,0.6614,0.3772,0.5463,0.7478
23,m009,1.831931,0.670079,0.00e+00,0.9863,0.1585,0.0465,0.0850,0.7284,0.6799,0.1416,0.6666,0.7319
24,m011,1.831931,0.370467,0.00e+00,0.9690,0.0047,0.2471,0.0039,1.0000,0.0033,0.2471,0.0023,0.9690
25,m006,1.831931,0.697467,0.00e+00,0.9992,0.0395,0.0070,0.0333,0.7184,0.6948,0.0224,0.6945,0.7191
26,m007,1.843586,0.629695,0.00e+00,1.0000,0.0015,0.0001,0.0012,0.7879,0.6158,0.0008,0.6158,0.7879
27,m009,1.843586,0.524084,0.00e+00,0.9996,0.0188,0.0188,0.0069,0.8669,0.4985,0.0256,0.4982,0.8667
28,m016,1.885415,0.691262,0.00e+00,0.9819,0.1887,0.0155,0.1233,0.6994,0.7040,0.1437,0.6893,0.7100
29,m007,1.885415,0.619356,0.00e+00,0.7600,0.4198,0.4961,0.2730,0.8990,0.3424,0.5898,0.1248,0.7979
30,m006,1.885415,0.709782,0.00e+00,0.9997,0.0238,0.0028,0.0150,0.7107,0.7034,0.0188,0.7031,0.7108
31,m017,1.885415,0.734593,0.00e+00,0.7093,0.0244,0.7045,0.0357,0.9994,0.0013,0.7040,0.0261,0.7097
32,m006,1.885914,1.009037,0.00e+00,0.6856,0.5497,0.4773,0.6732,0.2292,0.7030,0.2770,0.8033,0.5272
33,m010,1.910844,0.641994,0.00e+00,1.0000,0.0062,0.0017,0.0059,0.7762,0.6305,0.0026,0.6305,0.7762
34,m011,1.912210,0.701764,0.00e+00,0.7201,0.0876,0.6883,0.1641,0.9854,0.0462,0.6742,0.1462,0.7239
35,m006,1.922297,0.700756,0.00e+00,0.6958,0.2055,0.6882,0.2221,0.9728,0.0659,0.6830,0.1070,0.7225
36,m006,1.941503,0.610948,0.00e+00,0.9608,0.2701,0.0624,0.1738,0.7621,0.6237,0.2160,0.5884,0.7792
37,m009,1.941503,0.715876,0.00e+00,0.6619,0.6794,0.3167,0.4832,0.7097,0.5126,0.5730,0.1863,0.7981
38,m006,1.953708,0.523498,0.00e+00,0.8786,0.0712,0.4722,0.0203,0.9935,0.1120,0.4771,0.0889,0.8743
39,m006,1.962738,0.886446,0.00e+00,0.7661,0.5601,0.3153,0.5802,0.3914,0.7143,0.2767,0.7302,0.6248
40,m017,1.962738,0.731551,0.00e+00,0.8739,0.4780,0.0882,0.3975,0.5983,0.6957,0.2798,0.6430,0.7129
41,m023,2.014337,0.307865,0.00e+00,0.9890,0.0193,0.1467,0.0192,0.9998,0.0023,0.1468,0.0005,0.9892
42,m007,2.025945,0.377922,0.00e+00,0.9997,0.0253,0.0023,0.0248,0.9497,0.3121,0.0057,0.3121,0.9500
43,m006,2.028853,0.607948,0.00e+00,0.9026,0.4237,0.0763,0.3847,0.7142,0.5847,0.1932,0.5571,0.8076
44,m036,2.029883,0.256775,0.00e+00,0.9145,0.4046,0.0005,0.4046,0.9145,0.0011,0.0009,0.0008,1.0000
45,m015,2.029883,0.144323,0.00e+00,0.9820,0.1890,0.0007,0.1890,0.9820,0.0031,0.0012,0.0029,1.0000
46,m016,2.029883,0.678791,0.00e+00,0.7333,0.1210,0.6690,0.2023,0.9783,0.0449,0.6491,0.1682,0.7419
47,m010,2.029883,0.546444,0.00e+00,0.9995,0.0211,0.0250,0.0048,0.8511,0.5250,0.0324,0.5246,0.8507
48,m019,2.029883,0.299615,0.00e+00,0.9999,0.0062,0.0093,0.0048,0.9897,0.1431,0.0101,0.1431,0.9897
49,m011,2.029883,0.661504,0.00e+00,0.7560,0.1471,0.6378,0.3248,0.9303,0.1704,0.5683,0.3359,0.7512
