index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.746668,0.00e+00,0.6175,0.3590,0.6998,0.5065,0.8623,0.0046,0.6018,0.3573,0.7143
1,m003,0.981369,0.855686,0.00e+00,0.6370,0.1279,0.7602,0.5364,0.7818,0.3179,0.5536,0.6103,0.5666
2,m007,1.014942,0.686724,0.00e+00,0.6873,0.6298,0.3618,0.4437,0.7584,0.4774,0.5751,0.1676,0.8008
3,m003,1.263709,0.862897,0.00e+00,0.6577,0.1345,0.7412,0.5660,0.7376,0.3683,0.4971,0.6617,0.5613
4,m004,1.284485,0.669884,0.00e+00,0.7507,0.1099,0.6515,0.0992,0.9936,0.0533,0.6532,0.0246,0.7568
5,m004,1.398509,0.550630,0.00e+00,0.8448,0.0968,0.5263,0.1111,0.9938,0.0044,0.5235,0.0547,0.8503
6,m009,1.414061,0.735053,0.00e+00,0.6145,0.7077,0.3485,0.5330,0.6982,0.4780,0.5816,0.1079,0.8063
7,m003,1.414061,0.851613,0.00e+00,0.6417,0.1347,0.7550,0.5402,0.7783,0.3202,0.5445,0.6133,0.5722
8,m003,1.423612,0.878552,0.00e+00,0.6273,0.1215,0.7692,0.5606,0.7560,0.3378,0.5405,0.6431,0.5424
9,m004,1.440699,0.606844,0.00e+00,0.8076,0.0774,0.5846,0.0958,0.9954,0.0006,0.5819,0.0564,0.8113
10,m004,1.463777,0.645915,0.00e+00,0.7634,0.1491,0.6285,0.1266,0.9887,0.0807,0.6334,0.0180,0.7736
11,m004,1.529477,0.640792,0.00e+00,0.7808,0.0747,0.6203,0.0948,0.9955,0.0005,0.6176,0.0584,0.7843
12,m003,1.543569,0.861927,0.00e+00,0.6473,0.1335,0.7504,0.5587,0.7528,0.3480,0.5185,0.6445,0.5619
13,m007,1.543569,0.639981,0.00e+00,0.7846,0.0664,0.6164,0.0737,0.9972,0.0136,0.6155,0.0347,0.7873
14,m007,1.583167,0.658873,0.00e+00,0.7261,0.5641,0.3931,0.3759,0.8044,0.4600,0.5757,0.1863,0.7962
15,m007,1.583167,0.713231,0.00e+00,0.7170,0.6511,0.2489,0.4288,0.6936,0.5789,0.5495,0.3083,0.7765
16,m006,1.588647,0.640576,0.00e+00,0.8706,0.4565,0.1831,0.2650,0.7490,0.6073,0.4144,0.4802,0.7731
17,m003,1.588647,0.854127,0.00e+00,0.6498,0.1365,0.7478,0.5513,0.7619,0.3400,0.5233,0.6332,0.5703
18,m006,1.649610,0.905435,0.00e+00,0.5899,0.1073,0.8003,0.5646,0.7634,0.3138,0.5774,0.6369,0.5109
19,m015,1.757126,0.636081,0.00e+00,0.7982,0.5280,0.2901,0.3250,0.7828,0.5307,0.5072,0.3293,0.7964
20,m007,1.824344,0.662582,0.00e+00,0.7144,0.5651,0.4126,0.3844,0.8097,0.4434,0.5847,0.1581,0.7957
21,m009,1.831931,0.699119,0.00e+00,0.6483,0.6333,0.4227,0.4779,0.7706,0.4216,0.5928,0.0713,0.8022
22,m010,1.831931,0.758502,0.00e+00,0.5813,0.4481,0.6792,0.5726,0.8183,0.0498,0.5781,0.3599,0.7323
23,m009,1.831931,0.595171,0.00e+00,0.8126,0.0957,0.5749,0.1082,0.9940,0.0125,0.5726,0.0521,0.8182
24,m011,1.831931,0.267740,0.00e+00,0.9159,0.3807,0.1273,0.3787,0.9246,0.0402,0.1330,0.0114,0.9910
25,m006,1.831931,0.727709,0.00e+00,0.6026,0.6895,0.4019,0.5472,0.7235,0.4208,0.5809,0.0336,0.8133
26,m007,1.843586,0.471891,0.00e+00,0.8094,0.4774,0.3419,0.5274,0.8471,0.0656,0.2583,0.2334,0.9374
27,m009,1.843586,0.698433,0.00e+00,0.7023,0.1788,0.6890,0.2416,0.9703,0.0055,0.6696,0.1626,0.7247
28,m016,1.885415,0.680182,0.00e+00,0.6804,0.3527,0.6423,0.4645,0.8855,0.0058,0.5668,0.3023,0.7664
29,m007,1.885415,0.642972,0.00e+00,0.7497,0.5213,0.4078,0.3321,0.8293,0.4495,0.5725,0.2016,0.7948
30,m006,1.885415,0.721000,0.00e+00,0.6163,0.6765,0.4031,0.5257,0.7345,0.4291,0.5863,0.0526,0.8084
31,m017,1.885415,0.627225,0.00e+00,0.7532,0.2273,0.6173,0.2957,0.9552,0.0090,0.5876,0.1893,0.7867
32,m006,1.885914,0.710209,0.00e+00,0.6033,0.5972,0.5286,0.5401,0.7936,0.2801,0.5868,0.1165,0.8013
33,m010,1.910844,0.755193,0.00e+00,0.5869,0.4407,0.6792,0.5672,0.8224,0.0435,0.5778,0.3597,0.7326
34,m011,1.912210,0.279540,0.00e+00,0.9208,0.3414,0.1886,0.3451,0.9385,0.0135,0.1816,0.0526,0.9820
