word,length,phi_deg,phi_fold,mod_lambda
a,1,-95.72194634160938,84.27805365839062,1.560055657650786
b,1,28.142881612700936,28.142881612700936,1.6822926951183408
A,1,-95.72194634160937,84.27805365839063,1.5600556576507876
B,1,28.14288161270094,28.14288161270094,1.6822926951183395
aa,2,168.5561073167813,11.443892683218706,2.4337736549682285
ab,2,-83.6809955040736,83.6809955040736,1.6473411999783951
aB,2,-95.7219463416093,84.2780536583907,1.5600556576507878
ba,2,-83.68099550407358,83.68099550407358,1.6473411999784016
bb,2,56.28576322540193,56.28576322540193,2.8301087120485295
bA,2,-95.72194634160931,84.27805365839069,1.5600556576507871
Ab,2,-95.72194634160931,84.27805365839069,1.5600556576507862
AA,2,168.5561073167813,11.443892683218706,2.43377365496823
AB,2,-83.68099550407355,83.68099550407355,1.6473411999783956
Ba,2,-95.72194634160932,84.27805365839068,1.560055657650787
BA,2,-83.68099550407359,83.68099550407359,1.647341199978395
BB,2,56.28576322540188,56.28576322540188,2.83010871204853
aaa,3,72.83416097517193,72.83416097517193,3.796822359874622
aab,3,-167.36199100814719,12.638008991852814,2.7137330291462582
aaB,3,-176.73108666595246,3.2689133340475394,2.3800551348008856
aba,3,-167.36199100814719,12.638008991852814,2.713733029146257
abb,3,-57.820724443968444,57.820724443968444,1.7826168684980659
abA,3,28.14288161270099,28.14288161270099,1.682292695118339
aBa,3,-176.73108666595246,3.2689133340475394,2.3800551348008874
aBA,3,28.142881612701068,28.142881612701068,1.6822926951183395
aBB,3,-83.68099550407362,83.68099550407362,1.647341199978402
baa,3,-167.3619910081471,12.6380089918529,2.713733029146238
bab,3,-57.820724443968366,57.820724443968366,1.7826168684980697
baB,3,-95.72194634160927,84.27805365839073,1.5600556576507913
bba,3,-57.82072444396864,57.82072444396864,1.7826168684980699
bbb,3,84.42864483810273,84.42864483810273,4.761071212670019
bbA,3,-83.68099550407366,83.68099550407366,1.6473411999784011
bAb,3,-83.68099550407355,83.68099550407355,1.6473411999783931
bAA,3,-176.73108666595243,3.268913334047568,2.3800551348008856
bAB,3,-95.72194634160869,84.27805365839131,1.560055657650788
Aba,3,28.142881612701032,28.142881612701032,1.6822926951183432
Abb,3,-83.68099550407355,83.68099550407355,1.6473411999783936
AbA,3,-176.73108666595246,3.2689133340475394,2.38005513480089
AAb,3,-176.7310866659525,3.268913334047511,2.3800551348008847
AAA,3,72.83416097517191,72.83416097517191,3.796822359874623
AAB,3,-167.36199100814733,12.638008991852672,2.7137330291462645
ABa,3,28.14288161270133,28.14288161270133,1.682292695118331
ABA,3,-167.36199100814719,12.638008991852814,2.71373302914626
ABB,3,-57.820724443968544,57.820724443968544,1.782616868498067
Baa,3,-176.73108666595246,3.2689133340475394,2.3800551348008874
Bab,3,-95.72194634160931,84.27805365839069,1.5600556576507887
BaB,3,-83.68099550407354,83.68099550407354,1.647341199978394
BAb,3,-95.72194634160932,84.27805365839068,1.5600556576507896
BAA,3,-167.36199100814719,12.638008991852814,2.7137330291462565
BAB,3,-57.820724443968416,57.820724443968416,1.7826168684980628
BBa,3,-83.6809955040736,83.6809955040736,1.6473411999783991
BBA,3,-57.820724443968416,57.820724443968416,1.7826168684980666
BBB,3,84.4286448381028,84.4286448381028,4.761071212670015
aaaa,4,-22.887785366437427,22.887785366437427,5.923254203617418
aaab,4,90.75024320655133,89.24975679344867,4.138858087278282
aaaB,4,79.67547844393576,79.67547844393576,3.815193507682507
aaba,4,90.7502432065514,89.2497567934486,4.13885808727829
aabb,4,-131.91929128101026,48.08070871898974,4.233955796916012
aabA,4,-83.68099550407359,83.68099550407359,1.6473411999783958
aaBa,4,79.67547844393575,79.67547844393575,3.815193507682503
aaBA,4,-95.72194634160924,84.27805365839076,1.5600556576507878
