word,length,t,phi_deg,mod_lambda
a,1,0.470798,56.173,1.601271
b,1,0.245287,89.156,1.277988
A,1,0.470798,56.173,1.601271
B,1,0.245287,89.156,1.277988
aa,2,0.941596,112.346,2.56407
ab,2,-0.470798,123.827,1.601271
aB,2,0.711215,69.754,2.036464
ba,2,-0.470798,123.827,1.601271
bb,2,0.490575,178.313,1.633255
bA,2,0.711215,69.754,2.036464
Ab,2,0.711215,69.754,2.036464
AA,2,0.941596,112.346,2.56407
AB,2,-0.470798,123.827,1.601271
Ba,2,0.711215,69.754,2.036464
BA,2,-0.470798,123.827,1.601271
BB,2,0.490575,178.313,1.633255
aaa,3,1.412394,168.518,4.105771
aab,3,-1.080764,106.025,2.946932
aaB,3,0.885858,92.487,2.425064
aba,3,-1.080764,106.025,2.946932
abb,3,-0.711215,110.246,2.036464
abA,3,0.245287,89.156,1.277988
aBa,3,0.885858,92.487,2.425064
aBA,3,0.245287,89.156,1.277988
aBB,3,-0.376097,154.287,1.456588
baa,3,-1.080764,106.025,2.946932
bab,3,-0.711215,110.246,2.036464
baB,3,0.470798,56.173,1.601271
bba,3,-0.711215,110.246,2.036464
bbb,3,-0.735862,92.531,2.087281
bbA,3,-0.376097,154.287,1.456588
bAb,3,-0.376097,154.287,1.456588
bAA,3,0.885858,92.487,2.425064
bAB,3,0.470798,56.173,1.601271
Aba,3,0.245287,89.156,1.277988
Abb,3,-0.376097,154.287,1.456588
AbA,3,0.885858,92.487,2.425064
AAb,3,0.885858,92.487,2.425064
AAA,3,1.412394,168.518,4.105771
AAB,3,-1.080764,106.025,2.946932
ABa,3,0.245287,89.156,1.277988
ABA,3,-1.080764,106.025,2.946932
ABB,3,-0.711215,110.246,2.036464
Baa,3,0.885858,92.487,2.425064
Bab,3,0.470798,56.173,1.601271
BaB,3,-0.376097,154.287,1.456588
BAb,3,0.470798,56.173,1.601271
BAA,3,-1.080764,106.025,2.946932
BAB,3,-0.711215,110.246,2.036464
BBa,3,-0.376097,154.287,1.456588
BBA,3,-0.711215,110.246,2.036464
BBB,3,-0.735862,92.531,2.087281
aaaa,4,-1.883191,135.309,6.574453
aaab,4,-1.341317,58.271,3.824077
aaaB,4,0.940242,154.282,2.5606
aaba,4,-1.341317,58.271,3.824077
aabb,4,-1.254583,51.942,3.506376
aabA,4,-0.470798,123.827,1.601271
aaBa,4,0.940242,154.282,2.5606
aaBA,4,0.711215,69.754,2.036464
aaBB,4,-0.885858,87.513,2.425064
abaa,4,-1.341317,58.271,3.824077
abab,4,0.941596,112.346,2.56407
abaB,4,-1.254583,51.942,3.506376
abba,4,-1.254583,51.942,3.506376
abbb,4,0.376097,25.713,1.456588
abbA,4,0.490575,178.313,1.633255
abAb,4,-1.580824,76.109,4.858956
abAA,4,0.711215,69.754,2.036464
abAB,4,1.59824,106.485,4.944322
aBaa,4,0.940242,154.282,2.5606
aBab,4,-1.254583,51.942,3.506376
aBaB,4,1.42243,139.509,4.147185
aBAb,4,1.59824,106.485,4.944322
aBAA,4,-0.470798,123.827,1.601271
aBAB,4,-1.580824,76.109,4.858956
aBBa,4,-0.885858,87.513,2.425064
aBBA,4,0.490575,178.313,1.633255
aBBB,4,-1.04439,103.909,2.841664
baaa,4,-1.341317,58.271,3.824077
baab,4,-1.254583,51.942,3.506376
baaB,4,0.941596,112.346,2.56407
baba,4,0.941596,112.346,2.56407
babb,4,0.376097,25.713,1.456588
babA,4,-1.580824,76.109,4.858956
baBa,4,-1.254583,51.942,3.506376
baBA,4,1.59824,106.485,4.944322
baBB,4,0.711215,69.754,2.036464
bbaa,4,-1.254583,51.942,3.506376
bbab,4,0.376097,25.713,1.456588
bbaB,4,-0.470798,123.827,1.601271
bbba,4,0.376097,25.713,1.456588
bbbb,4,-0.981149,3.374,2.667521
bbbA,4,-1.04439,103.909,2.841664
bbAb,4,-1.04439,103.909,2.841664
bbAA,4,-0.885858,87.513,2.425064
bbAB,4,0.711215,69.754,2.036464
bAba,4,-1.580824,76.109,4.858956
bAbb,4,-1.04439,103.909,2.841664
bAbA,4,1.42243,139.509,4.147185
bAAb,4,-0.885858,87.513,2.425064
bAAA,4,0.940242,154.282,2.5606
bAAB,4,0.941596,112.346,2.56407
bABa,4,1.59824,106.485,4.944322
bABA,4,-1.254583,51.942,3.506376
bABB,4,-0.470798,123.827,1.601271
Abaa,4,-0.470798,123.827,1.601271
Abab,4,-1.580824,76.109,4.858956
AbaB,4,1.59824,106.485,4.944322
Abba,4,0.490575,178.313,1.633255
Abbb,4,-1.04439,103.909,2.841664
AbbA,4,-0.885858,87.513,2.425064
AbAb,4,1.42243,139.509,4.147185
AbAA,4,0.940242,154.282,2.5606
AbAB,4,-1.254583,51.942,3.506376
AAba,4,0.711215,69.754,2.036464
AAbb,4,-0.885858,87.513,2.425064
AAbA,4,0.940242,154.282,2.5606
AAAb,4,0.940242,154.282,2.5606
AAAA,4,-1.883191,135.309,6.574453
AAAB,4,-1.341317,58.271,3.824077
AABa,4,-0.470798,123.827,1.601271
AABA,4,-1.341317,58.271,3.824077
AABB,4,-1.254583,51.942,3.506376
ABaa,4,0.711215,69.754,2.036464
ABab,4,1.59824,106.485,4.944322
ABaB,4,-1.580824,76.109,4.858956
ABAb,4,-1.254583,51.942,3.506376
ABAA,4,-1.341317,58.271,3.824077
ABAB,4,0.941596,112.346,2.56407
ABBa,4,0.490575,178.313,1.633255
ABBA,4,-1.254583,51.942,3.506376
ABBB,4,0.376097,25.713,1.456588
Baaa,4,0.940242,154.282,2.5606
Baab,4,0.941596,112.346,2.56407
BaaB,4,-0.885858,87.513,2.425064
Baba,4,-1.254583,51.942,3.506376
Babb,4,-0.470798,123.827,1.601271
BabA,4,1.59824,106.485,4.944322
BaBa,4,1.42243,139.509,4.147185
BaBA,4,-1.580824,76.109,4.858956
BaBB,4,-1.04439,103.909,2.841664
BAba,4,1.59824,106.485,4.944322
BAbb,4,0.711215,69.754,2.036464
BAbA,4,-1.254583,51.942,3.506376
BAAb,4,0.941596,112.346,2.56407
BAAA,4,-1.341317,58.271,3.824077
BAAB,4,-1.254583,51.942,3.506376
BABa,4,-1.580824,76.109,4.858956
BABA,4,0.941596,112.346,2.56407
BABB,4,0.376097,25.713,1.456588
BBaa,4,-0.885858,87.513,2.425064
BBab,4,0.711215,69.754,2.036464
BBaB,4,-1.04439,103.909,2.841664
BBAb,4,-0.470798,123.827,1.601271
BBAA,4,-1.254583,51.942,3.506376
BBAB,4,0.376097,25.713,1.456588
BBBa,4,-1.04439,103.909,2.841664
BBBA,4,0.376097,25.713,1.456588
BBBB,4,-0.981149,3.374,2.667521
aaaaa,5,-2.353989,79.136,10.527482
aaaab,5,1.771716,4.974,5.880935
aaaaB,5,-1.590753,140.35,4.907441
aaaba,5,1.771716,4.974,5.880935
aaabb,5,1.732718,2.132,5.656008
aaabA,5,-1.080764,106.025,2.946932
aaaBa,5,-1.590753,140.35,4.907441
aaaBA,5,0.885858,92.487,2.425064
aaaBB,5,-1.419371,31.909,4.134519
aabaa,5,1.771716,4.974,5.880935
aabab,5,1.341317,121.729,3.824077
aabaB,5,-1.419371,31.909,4.134519
aabba,5,1.732718,2.132,5.656008
aabbb,5,1.468385,60.742,4.342217
aabbA,5,-0.711215,110.246,2.036464
aabAb,5,-2.108512,31.802,8.235977
aabAA,5,0.245287,89.156,1.277988
aabAB,5,2.026524,150.797,7.587665
aaBaa,5,-1.590753,140.35,4.907441
aaBab,5,-1.419371,31.909,4.134519
aaBaB,5,1.412394,168.518,4.105771
aaBAb,5,2.026524,150.797,7.587665
aaBAA,5,0.245287,89.156,1.277988
aaBAB,5,-1.908251,28.644,6.741288
aaBBa,5,-1.419371,31.909,4.134519
aaBBA,5,-0.376097,154.287,1.456588
aaBBB,5,-0.941596,67.654,2.56407
abaaa,5,1.771716,4.974,5.880935
abaab,5,1.341317,121.729,3.824077
abaaB,5,-1.419371,31.909,4.134519
ababa,5,1.341317,121.729,3.824077
ababb,5,0.885858,92.487,2.425064
ababA,5,-0.711215,110.246,2.036464
abaBa,5,-1.419371,31.909,4.134519
abaBA,5,0.470798,56.173,1.601271
abaBB,5,1.468385,60.742,4.342217
abbaa,5,1.732718,2.132,5.656008
abbab,5,0.885858,92.487,2.425064
abbaB,5,-0.564145,51.431,1.757944
abbba,5,1.468385,60.742,4.342217
abbbb,5,1.04439,76.091,2.841664
abbbA,5,-0.735862,92.531,2.087281
abbAb,5,-0.490575,1.687,1.633255
abbAA,5,-0.376097,154.287,1.456588
abbAB,5,-0.864502,146.38,2.373823
abAba,5,-2.108512,31.802,8.235977
abAbb,5,-0.490575,1.687,1.633255
abAbA,5,-0.376097,154.287,1.456588
abAAb,5,-1.908251,28.644,6.741288
abAAA,5,0.885858,92.487,2.425064
abAAB,5,2.026524,150.797,7.587665
abABa,5,2.026524,150.797,7.587665
abABA,5,0.470798,56.173,1.601271
abABB,5,-0.864502,146.38,2.373823
aBaaa,5,-1.590753,140.35,4.907441
aBaab,5,-1.419371,31.909,4.134519
aBaaB,5,1.412394,168.518,4.105771
aBaba,5,-1.419371,31.909,4.134519
aBabb,5,-0.564145,51.431,1.757944
aBabA,5,0.470798,56.173,1.601271
aBaBa,5,1.412394,168.518,4.105771
aBaBA,5,-0.376097,154.287,1.456588
aBaBB,5,-1.386093,106.893,3.999194
aBAba,5,2.026524,150.797,7.587665
aBAbb,5,-0.864502,146.38,2.373823
aBAbA,5,0.470798,56.173,1.601271
aBAAb,5,2.026524,150.797,7.587665
aBAAA,5,-1.080764,106.025,2.946932
aBAAB,5,-2.108512,31.802,8.235977
aBABa,5,-1.908251,28.644,6.741288
aBABA,5,-0.711215,110.246,2.036464
aBABB,5,-0.490575,1.687,1.633255
aBBaa,5,-1.419371,31.909,4.134519
aBBab,5,1.468385,60.742,4.342217
aBBaB,5,-1.386093,106.893,3.999194
aBBAb,5,-0.864502,146.38,2.373823
aBBAA,5,-0.711215,110.246,2.036464
aBBAB,5,-0.490575,1.687,1.633255
aBBBa,5,-0.941596,67.654,2.56407
aBBBA,5,-0.735862,92.531,2.087281
aBBBB,5,-1.009631,2.879,2.744589
baaaa,5,1.771716,4.974,5.880935
baaab,5,1.732718,2.132,5.656008
baaaB,5,1.412394,168.518,4.105771
baaba,5,1.341317,121.729,3.824077
baabb,5,1.468385,60.742,4.342217
baabA,5,-2.108512,31.802,8.235977
baaBa,5,-1.419371,31.909,4.134519
baaBA,5,2.026524,150.797,7.587665
baaBB,5,0.885858,92.487,2.425064
babaa,5,1.341317,121.729,3.824077
babab,5,0.885858,92.487,2.425064
babaB,5,-1.080764,106.025,2.946932
babba,5,0.885858,92.487,2.425064
babbb,5,1.04439,76.091,2.841664
babbA,5,-0.490575,1.687,1.633255
babAb,5,-0.490575,1.687,1.633255
babAA,5,-1.908251,28.644,6.741288
babAB,5,0.245287,89.156,1.277988
baBaa,5,-1.419371,31.909,4.134519
baBab,5,-0.564145,51.431,1.757944
baBaB,5,0.885858,92.487,2.425064
baBAb,5,-0.864502,146.38,2.373823
baBAA,5,2.026524,150.797,7.587665
baBAB,5,0.245287,89.156,1.277988
baBBa,5,1.468385,60.742,4.342217
baBBA,5,-0.864502,146.38,2.373823
baBBB,5,-0.376097,154.287,1.456588
bbaaa,5,1.732718,2.132,5.656008
bbaab,5,1.468385,60.742,4.342217
bbaaB,5,-1.080764,106.025,2.946932
