p,q,vol,dot,diff_from_cosTW,angle_deg
-12,1,2.46574771,0.95380297,0.07235637,17.483603
-12,5,2.48357872,0.69977473,-0.18167187,45.591067
-11,1,2.44588385,0.95497965,0.07353305,17.257784
-11,2,2.44623401,0.95604036,0.07459376,17.051736
-11,3,2.45149830,0.95660857,0.07516197,16.940361
-11,4,2.46067043,0.69471877,-0.18672783,45.995189
-11,5,2.47187892,0.72673290,-0.15471370,43.386804
-11,6,2.48342334,0.74251881,-0.13892779,42.053576
-10,1,2.41966662,0.95623899,0.07479239,17.012882
-10,3,2.42912336,0.95792138,0.07647478,16.680272
-9,1,2.38404511,0.95756475,0.07611815,16.751313
-9,2,2.38656808,0.95867685,0.07723025,16.528800
-9,4,2.42097835,0.76378664,-0.11765996,40.200834
-9,5,2.44270134,0.78817398,-0.09327262,37.984807
-8,1,2.33386026,0.95891353,0.07746693,16.481067
-8,3,2.36320551,0.75166840,-0.12977820,41.264893
-8,5,2.42512589,0.82085604,-0.06059057,34.829422
-7,1,2.25976713,0.96018221,0.07873561,16.222878
-7,2,2.27203840,0.96096422,0.07951762,16.061719
-7,3,2.31535337,0.80973414,-0.07171246,35.930036
-7,4,2.36437584,0.84904261,-0.03240399,31.892309
-7,5,2.40583060,0.85263631,-0.02881029,31.500423
-7,6,2.43826411,0.84299492,-0.03845168,32.542260
-6,1,2.14317214,0.96112824,0.07968164,16.027718
-6,5,2.38536682,0.88150290,0.00005630,28.175808
-5,1,1.94150308,0.96117811,0.07973151,16.017365
-5,2,2.02885309,0.88147643,0.00002983,28.179020
-5,3,2.18475558,0.93488931,0.05344271,20.789730
-5,4,2.29267582,0.92528446,0.04383786,22.288711
-5,6,2.41364160,0.68666460,-0.19478201,46.633341
-4,1,1.52947733,0.95987469,0.07842809,16.285826
-4,3,2.10758135,0.63154931,-0.24989729,50.835479
-4,5,2.34457166,0.65685207,-0.22459453,48.939766
-3,2,1.64960972,0.95713091,0.07568431,16.837344
-3,4,2.21848293,0.60672534,-0.27472126,52.646901
-3,5,2.32668392,0.63615011,-0.24529649,50.494661
-2,3,1.95370832,0.49978875,-0.38165785,60.013975
-2,5,2.31251877,0.61505192,-0.26639468,52.044307
-1,2,1.26370924,0.94114161,0.05969501,19.755833
-1,3,1.88541473,0.39325403,-0.48819257,66.842873
-1,4,2.16287311,0.52265025,-0.35879635,58.489806
-1,5,2.30401229,0.59633427,-0.28511233,53.392192
-1,6,2.38371334,0.64243613,-0.23901047,50.026283
1,3,1.83193119,0.17533508,-0.70611152,79.901842
1,4,2.16627288,0.48207573,-0.39937087,61.178941
1,5,2.31263540,0.59092308,-0.29052352,53.777460
1,6,2.39097660,0.64544319,-0.23600341,49.801088
2,1,0.94270736,0.89102467,0.00957807,26.997710
2,3,1.96273766,0.49614301,-0.38530359,60.254850
2,5,2.33160786,0.61619634,-0.26525026,51.961100
3,1,1.58864664,0.99677360,0.11532700,4.603771
3,2,1.88591426,0.36687257,-0.51457403,68.477131
3,4,2.26317032,0.62704734,-0.25439926,51.167385
3,5,2.35676841,0.65219861,-0.22924799,49.292426
4,1,1.92229711,0.56478299,-0.31666361,55.612777
4,3,2.21719749,0.70593847,-0.17550813,45.094588
4,5,2.38327024,0.69980943,-0.18163717,45.588283
5,1,2.11456769,0.49323006,-0.38821654,60.446894
5,2,2.21030359,0.32801848,-0.55342812,70.851451
5,3,2.29268850,0.74065543,-0.14079117,42.212722
5,4,2.35848053,0.48284185,-0.39860475,61.128827
5,6,2.44398747,0.66920610,-0.21224050,47.994179
6,1,2.23429313,0.44541868,-0.43602792,63.549871
6,5,2.42962765,0.55124146,-0.33020514,56.547776
7,1,2.31328255,0.41047495,-0.47097165,65.765326
7,2,2.35160578,0.80295468,-0.07849192,36.586813
7,3,2.38841644,0.77725795,-0.10418865,38.989803
7,4,2.42094741,0.76002296,-0.12142364,40.533778
7,5,2.44814816,0.49842913,-0.38301747,60.103873
7,6,2.47009471,0.56513180,-0.31631480,55.588556
8,1,2.36782004,0.38349985,-0.49794675,67.449359
8,3,2.41946141,0.78746068,-0.09398592,38.051163
8,5,2.46380227,0.76290207,-0.11854453,40.279290
9,1,2.40689231,0.36194403,-0.51950257,68.780367
9,2,2.42487798,0.29776566,-0.58368094,72.676547
9,4,2.46115018,0.78139517,-0.10005143,38.611506
9,5,2.47699133,0.77237721,-0.10906939,39.432158
10,1,2.43575680,0.34430588,-0.53714073,69.860570
10,3,2.46240083,0.80001943,-0.08142717,36.868042
11,1,2.45763867,0.32961608,-0.55183052,70.754525
11,2,2.46715982,0.28515615,-0.59629045,73.431817
11,3,2.47749571,0.24413506,-0.63731154,75.869276
11,4,2.48779900,0.79352932,-0.08791728,37.483434
11,5,2.49751884,0.78570539,-0.09574121,38.214035
11,6,2.50634930,0.78022058,-0.10122602,38.719224
12,1,2.47459665,0.31720800,-0.56423860,71.505839
12,5,2.50550685,0.79042619,-0.09102041,37.774643
