words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
BB aaB aBa,0.06239284313447522,0.9706839683760873,0.24035938412039948,1.7067491532357149e-06,0.2403593841264591,0.9706839683515104,6.907484351139221e-06,3.564643417696506e-09,7.115217496789635e-06,0.9999999999746868
BB aaB baa,0.07835368551159018,0.9706837902871785,0.23936716748594986,0.02182517820017371,0.2403593400283368,0.9664419546902481,0.09064952220301374,0.0006057514824512498,0.09323790722793776,0.9956436740726554
BB aba baa,0.10715454918725453,0.9866353061893154,0.16294281518754228,0.000641529013245442,0.16294291481031514,0.9866354926245634,0.00010586124620271798,0.0006157059645408344,0.0002089790504143987,0.9999997886169385
BB aba aBa,0.10728650946877583,0.9866354932030488,0.1629429452597608,1.1918495417511677e-05,0.16294294569565115,0.9866354905620635,7.218989307257051e-05,3.6232222135035267e-09,7.316714550752046e-05,0.9999999973232844
aa bb baa,0.12591212562571097,0.9504997226267655,0.31044770444664554,0.013133928972317502,0.31072527833298624,0.9496116984015888,0.04107826266699198,0.00028051974953574224,0.043125921006494324,0.9990696053058625
bb aaa aba,0.1320414289037183,0.9504997594149498,0.31070258528197026,0.003756441297629976,0.31072529035930346,0.9504288988711034,0.011606124322478463,3.582246591761744e-05,0.012198839689179529,0.9999255907451258
aa bb aba,0.13507141941809023,0.9504535116961819,0.31064999594818404,0.011606124322477934,0.31071017164339354,0.950497279525886,0.0037564412976299013,0.009864651120466174,0.0071764637031645866,0.9999255907451258
bb aaa baa,0.13648925196559344,0.9499182329460398,0.3097869058771435,0.04107826266699174,0.3105351851234907,0.9504711456483409,0.013133928972317101,0.03497498415999482,0.02523240450286792,0.9990696053058624
aa bb aaB,0.13821913298408106,0.9504997600248113,0.31072529052126974,4.8216619016792515e-06,0.3107252905586796,0.9504997599102015,1.4760543282330897e-05,3.4856197397508556e-09,1.5528105143066363e-05,0.999999999879439
bb aaa aaB,0.1382228916119588,0.950499759950179,0.3107252904363891,1.4760543282330808e-05,0.31072529053427383,0.9504997600205606,4.821661901679099e-06,1.2531680552843217e-05,9.169462579952873e-06,0.999999999879439
AA BB aaa,0.1382243087379862,0.9504997600248117,0.3107252905518044,2.0670276546514446e-06,0.3107252905586796,0.9504997600037562,6.3266047364220434e-06,1.1268052638360895e-09,6.655714052325384e-06,0.9999999999778507
aa bb AA,0.13822430873798622,0.9504997600248113,0.31072529055180437,2.0670276546512773e-06,0.3107252905586796,0.9504997600037562,6.326604736421532e-06,1.1268052638360891e-09,6.655714052324846e-06,0.9999999999778507
aa bb BB,0.1382259195228789,0.9504997600111007,0.3107252905362128,6.326604736301885e-06,0.31072529055419745,0.950499760024029,2.067027654285283e-06,5.3711585151976466e-06,3.930545384243435e-06,0.9999999999778507
AA BB aBa,0.13822708806186404,0.9504997600215643,0.31072529055336956,3.0778467070132536e-06,0.310725290557618,0.9504997600246299,1.0024981925000158e-06,2.6139910142648995e-06,1.9092391037218177e-06,0.999999999994761
AA BB aab,0.13822810282094045,0.9504997600247753,0.3107252905586354,3.1014472540956085e-07,0.31072529055866777,0.9504997600248135,6.11756781474941e-08,2.7578365670724755e-07,1.5451727731667005e-07,0.99999999999995
AA BB baa,0.1475154539110636,0.9490111271265025,0.30833722983004397,0.06562037252881149,0.31023864562796416,0.9504304954523592,0.020829212013649036,0.05594518164249546,0.0401251294691709,0.9976272403237947
aaa aBa baa,0.21876581390278926,0.9280036341649684,0.37236559818433324,0.0123740157360122,0.37257104016023385,0.9274670012438483,0.03155600794880916,0.00027388050814447176,0.0338942899699587,0.9994253859578011
aa aBa baa,0.21876581390280003,0.9280036341649653,0.3723655981843402,0.01237401573601256,0.37257104016024095,0.9274670012438451,0.03155600794880941,0.00027388050814448927,0.033894289969959066,0.9994253859578011
BB aaB aba,0.23055032956487928,0.9584466122518152,0.2270672308001614,0.17268631723377906,0.23732918740209472,0.9705626410841033,0.04102458456719964,0.15828754932110287,0.0803033774420237,0.9841221566966792
AA BB aba,0.24582066867123933,0.9504953413885466,0.30568154500831407,0.05583367299398909,0.3107238460743199,0.9332179061912694,0.1804301278743801,0.0030491768482696605,0.18884684960388626,0.9820018176740993
aaa aba baa,0.31168947258969654,0.9999461001433101,0.010378327852240151,0.0002951595778744492,0.010378329182646143,0.9999461436870088,2.9760969133889485e-06,0.0002951127947583535,6.039199762783735e-06,0.9999999564359823
aa aba baa,0.3116894725896973,0.9999461001433101,0.010378327852239617,0.0002951595778744691,0.010378329182645609,0.9999461436870088,2.976096913388998e-06,0.0002951127947583734,6.039199762783834e-06,0.9999999564359823
aba aBa baa,0.3213936967062357,0.9999999975344633,7.019903872932312e-05,1.7801725963129836e-06,7.022155243376612e-05,0.9996463141121438,0.026594017201985697,8.73314691427599e-08,0.026594017261423648,0.9996463165769639
BB aBa baa,0.3214575897572638,0.9999998052832579,1.65995585152963e-05,0.0006238252164428579,3.672299986126533e-09,0.9996463167195949,0.026594011900184074,0.0006240460287506006,0.026594006719593846,0.999646122071782
AA aba aBa,0.3215876202394481,0.9999948544451331,0.0032079708356257844,2.5248788892040504e-06,0.0032079706504489235,0.9999948519839376,7.021345265453213e-05,2.7501085994713036e-06,7.020499162998659e-05,0.999999997531848
aa AA baa,0.3217473696235679,0.9999999564495272,1.7369169694796615e-05,0.0002946171332314729,1.185487111257949e-09,0.9982669041586204,0.05884885777620001,0.0002951286893001301,0.05884885521295518,0.9982668606836457
bb AA baa,0.32297651946348066,0.9993228711221083,0.002169450366675408,0.036729997786169,5.6470519767375725e-06,0.9982692563111698,0.05880894381005579,0.036794010659022366,0.058768915159717106,0.9975933116208097
aaB aba aBa,0.323583044919235,0.9999984445570642,0.0017637582002677304,6.361027324815071e-06,0.0017637577493470461,0.9999984421133419,7.021033310371205e-05,6.484851465810671e-06,7.019900458430747e-05,0.9999999975150232
AA aaa aba,0.3236445434416545,0.9999948544489146,3.329439097314049e-05,0.0032077978704635763,1.1854810629017176e-09,0.9999461442409809,0.010378276234303218,0.003207970650461055,0.010378222828549891,0.9999409989670525
BB aab baa,0.32425002867555136,0.999999805283257,4.876243010172535e-06,0.0006240269784797581,4.021288240625504e-08,0.9999699723399095,0.007749478596598266,0.0006240460287506002,0.007749477062551113,0.9999697776292097
aa AA aba,0.32517357322277807,0.9999461436867467,3.3292769054144334e-05,0.010378276234302684,1.1854233169184732e-09,0.9999948550031754,0.003207797870463576,0.01037832963457809,0.0032076250979939606,0.9999409989670525
bb AA aba,0.32525646637350225,0.99999999927384,5.7717513589147984e-06,3.7669710795326014e-05,5.650878345550131e-06,0.9999948544336387,0.0032079704353202257,3.768803257104872e-05,0.0032079702201237726,0.9999948537400976
aab aba baa,0.3253516571223606,0.9999698866633353,0.0004138891209073233,0.007749481422121623,0.00041392573221608013,0.9999999143278718,3.1204775227037044e-06,0.007749479466675358,6.328093326660112e-06,0.9999699723131444
aaa aaB aba,0.3255242892817972,0.9999461436867467,1.8307539838066843e-05,0.01037831348716984,3.666946761807656e-09,0.999998444745692,0.0017636627221312155,0.010378329634578624,0.0017635676997024563,0.999944588516266
aa aaB aba,0.3255242892817972,0.9999461436867467,1.83075398380659e-05,0.010378313487169305,3.6669467618080076e-09,0.999998444745692,0.0017636627221312155,0.01037832963457809,0.0017635676997024563,0.999944588516266
bb aaB aba,0.32558636258842855,0.9999999992028932,1.3250758923497005e-05,3.766472003400621e-05,1.3184306899257905e-05,0.9999984444920562,0.001763757251551387,3.768803256837487e-05,0.0017637567535622558,0.9999984438696524
aab aaB aba,0.32558929784411456,0.9999999143273215,1.4702359141232778e-06,0.00041393621251909786,7.401506774831117e-07,0.9999984445786242,0.0017637572919059464,0.000413938161813179,0.0017637568344249668,0.9999983589071669
AA aab aba,0.32584288918907767,0.9999948544488724,1.6180345956406892e-06,0.003207970255530202,2.9014445794405395e-07,0.9999999143288205,0.0004139351010944383,0.0032079706504609196,0.00041393204039542127,0.999994768778603
aa BB baa,0.3258643611241475,0.9999999564335613,5.8350501433716945e-06,0.00029512510543563714,5.650878103464928e-06,0.9999998052683496,0.0006240443338583419,0.000295128689295418,0.0006240426389549567,0.9999997617348924
BB aaa baa,0.325934172787992,0.999999805267292,5.8350475528650686e-06,0.0006240443338583418,5.650877249243186e-06,0.9999999564346189,0.0002951251054356172,0.0006240460287406369,0.0002951215215671775,0.9999997617348924
aab aaB baa,0.3261752327224274,0.9999699723277489,0.0006617954867998797,0.007721170220583808,7.401285158899442e-07,0.9963550101672818,0.08530353869569283,0.007749480130549964,0.08530097151433275,0.9963250924354045
aa aaB baa,0.3267177487099365,0.9999999564495272,2.517992640138911e-05,0.0002940525710955123,3.66714410097219e-09,0.9963547922857598,0.08530608354156415,0.0002951286893001301,0.08530607982536556,0.9963547488941301
