slope,h1,farey_det,first_new_prime,first_new_degree,all_new_primes,match,note
"(-1,2)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-1,3)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-2,3)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-2,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-3,4)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-3,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-4,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-5,2)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-1,4)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-3,7)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(-4,7)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(1,2)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(1,3)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(2,3)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(2,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(3,4)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(3,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
"(4,5)",,,,,[],,FAILED: 'Manifold' object has no attribute 'filled_manifold'
