manifold,slope,h1,h1_order,h1_primes,abs_p,abs_q,norm_sq,is_hfg
m003,"(-1,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,1,2,False
m003,"(1,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,1,2,False
m003,"(-2,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,1,5,False
m003,"(-1,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,2,5,False
m003,"(1,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,2,5,False
m003,"(2,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,1,5,False
m003,"(-3,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,1,10,False
m003,"(-1,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,3,10,False
m003,"(1,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,3,10,False
m003,"(3,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,1,10,False
m003,"(-4,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,1,17,False
m003,"(-3,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,2,13,False
m003,"(-2,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,3,13,True
m003,"(-1,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,4,17,False
m003,"(1,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,4,17,False
m003,"(2,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,3,13,False
m003,"(3,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,2,13,False
m003,"(4,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,1,17,False
m003,"(-5,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,1,26,False
m003,"(-1,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,5,26,False
m003,"(1,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,5,26,False
m003,"(5,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,1,26,False
m003,"(-6,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,1,37,False
m003,"(-5,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,2,29,True
m003,"(-4,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,3,25,False
m003,"(-3,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,4,25,False
m003,"(-2,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,5,29,False
m003,"(-1,6)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,6,37,False
m003,"(1,6)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,6,37,False
m003,"(2,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,5,29,False
m003,"(3,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,4,25,False
m003,"(4,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,3,25,False
m003,"(5,2)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,2,29,False
m003,"(6,1)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,1,37,False
m003,"(-5,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,3,34,False
m003,"(-3,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,5,34,False
m003,"(-1,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,7,50,False
m003,"(1,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],1,7,50,False
m003,"(3,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,5,34,False
m003,"(5,3)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,3,34,False
m003,"(-5,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,4,41,False
m003,"(-4,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,5,41,False
m003,"(-2,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,7,53,False
m003,"(2,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],2,7,53,False
m003,"(4,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,5,41,False
m003,"(5,4)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,4,41,False
m003,"(-3,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,7,58,False
m003,"(3,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],3,7,58,False
m003,"(-6,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,5,61,False
m003,"(-5,6)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,6,61,False
m003,"(-4,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,7,65,False
m003,"(4,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],4,7,65,False
m003,"(5,6)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,6,61,False
m003,"(6,5)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,5,61,False
m003,"(-5,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,7,74,False
m003,"(5,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],5,7,74,False
m003,"(-6,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,7,85,False
m003,"(6,7)",ERR:'Manifold' object has no attribute 'filled_manifold',,[],6,7,85,False
