census_index,name,volume,H1,target_label,vol_diff
236,m078,2.94385964784,Z/43,3*vol(m003),-0.000246082528150
237,m130,2.94410648668,Z/16,3*vol(m003),7.56306696381159 E-7
238,m130,2.9441064867,Z/80,3*vol(m003),7.56306696825249 E-7
239,m139,2.9441064867,Z/48,3*vol(m003),7.56306696825249 E-7
240,m139,2.9441064867,Z/2 + Z/42,3*vol(m003),7.56306695048892 E-7
1179,m310,3.9928291965,Z/19,2*vol(m003)+vol(m006),0.000208830122311
1277,s350,4.0593561358,Z/2 + Z/10,2*vol(m006),-0.000410289804832
1278,s400,4.0596771319,Z/16,2*vol(m006),-8.92937250336345 E-5
1279,s912,4.059766426,Z,2*vol(m006),-1.37667655053519 E-12
1280,m401,4.05976642564,Z/13 + Z,2*vol(m006),-1.38644651315190 E-12
1281,v0825,4.05976642564,Z/6 + Z/6,2*vol(m006),-1.38467015631250 E-12
1282,m358,4.05976642564,Z/4 + Z/40,2*vol(m006),-1.38555833473220 E-12
1283,s705,4.05976642564,Z/56,2*vol(m006),-1.38467015631250 E-12
1284,m371,4.0597664256,Z/4 + Z,2*vol(m006),-1.38555833473220 E-12
1285,m368,4.0597664256,Z/8 + Z,2*vol(m006),-1.38555833473220 E-12
1286,m370,4.0597664256,Z/4 + Z/8,2*vol(m006),-1.38644651315190 E-12
1287,m369,4.05976642564,Z/4 + Z/12,2*vol(m006),-1.38644651315190 E-12
1288,s423,4.0597664256,Z/14 + Z/14,2*vol(m006),-1.38733469157160 E-12
1289,s779,4.0597664256,Z/8,2*vol(m006),-1.39088740525040 E-12
1290,s772,4.0597664256,Z/24,2*vol(m006),-1.39177558367010 E-12
1291,s817,4.0597664256,Z/28,2*vol(m006),-1.38555833473220 E-12
1292,s424,4.0597664256,Z/6 + Z/6,2*vol(m006),-1.38644651315190 E-12
1293,s818,4.05976642564,Z/3 + Z/12,2*vol(m006),-1.38733469157160 E-12
1294,s778,4.05976642564,Z/3 + Z/24,2*vol(m006),-1.38644651315190 E-12
1295,s775,4.05976642564,Z/8,2*vol(m006),-1.38733469157160 E-12
1296,s778,4.05976642564,Z/24,2*vol(m006),-1.38733469157160 E-12
1297,s779,4.0597664256,Z/40,2*vol(m006),-1.38555833473220 E-12
1298,m395,4.05976642564,Z/120,2*vol(m006),-1.38555833473220 E-12
1299,s787,4.0597664256,Z/2 + Z/6,2*vol(m006),-1.38644651315190 E-12
1300,s440,4.0597664256,Z/2 + Z/30,2*vol(m006),-1.38822286999130 E-12
