manifold,words,sigma,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
m003,ba/BA/Baa,1.0,0.320115,0.7446,0.6306,0.2187,0.5424,0.3808,0.7488,0.389,0.6762,0.6257
m003,bb/AA/aBa,3.0,0.322071,0.7875,0.5911,0.1743,0.5021,0.4514,0.7377,0.3574,0.6685,0.6523
m007,aa/aBa/AAA,3.0,0.328405,0.7343,0.6506,0.1936,0.5384,0.3846,0.7498,0.4134,0.6548,0.6327
m003,bab/AAB/Baa,0.8,0.324554,0.7335,0.6321,0.2499,0.5573,0.3488,0.7535,0.3891,0.6919,0.6081
m004,Aba/Abb/BAA,3.0,0.312112,0.7617,0.5931,0.2609,0.5455,0.3697,0.7522,0.3497,0.7152,0.6051
m004,aB/aBa/AAA,3.0,0.312299,0.7543,0.6073,0.2494,0.5459,0.3692,0.7521,0.3647,0.7034,0.6101
m009,aB/baa/BBA,3.0,0.304553,0.7832,0.5846,0.2115,0.5154,0.4203,0.7468,0.3477,0.694,0.6305
m003,aBA/AAb/AAB,3.0,0.317759,0.7412,0.6436,0.1907,0.5315,0.3891,0.7525,0.4101,0.6591,0.6304
m003,ba/bA/Ab,1.0,0.322819,0.7381,0.6273,0.2484,0.5551,0.3553,0.7521,0.3835,0.693,0.6105
m004,aaB/baa/baB,2.0,0.313605,0.7536,0.6095,0.2463,0.5458,0.3713,0.7511,0.3664,0.7004,0.6125
m004,ba/AA/Ba,3.0,0.320939,0.7749,0.5942,0.2156,0.5268,0.4186,0.7397,0.3493,0.6868,0.6374
m004,Ab/AAb/BAA,3.0,0.310082,0.7673,0.5831,0.2668,0.5433,0.3701,0.7536,0.3407,0.7232,0.6008
m003,aBa/bba/bbb,1.5,0.31172,0.7533,0.6034,0.2617,0.5493,0.3584,0.7548,0.3617,0.7123,0.6015
m007,aBa/Abb/ABa,3.0,0.322498,0.719,0.6496,0.2471,0.5572,0.3262,0.7636,0.4154,0.6868,0.5965
m007,baa/Bab/BBA,3.0,0.307572,0.7962,0.565,0.2166,0.5086,0.4309,0.7454,0.3278,0.7036,0.6304
m007,bb/bbb/Abb,3.0,0.303067,0.7792,0.5887,0.2153,0.519,0.4133,0.7482,0.3515,0.6947,0.6276
m006,Ab/BB/aba,3.0,0.306078,0.7556,0.6071,0.2458,0.5422,0.3693,0.7547,0.3674,0.7036,0.6083
m003,ba/ABA/BBA,3.0,0.319596,0.7758,0.6076,0.1703,0.5073,0.4401,0.7409,0.3752,0.6612,0.6496
m006,bb/BA/BBA,3.0,0.306765,0.7689,0.5871,0.2531,0.538,0.3803,0.7523,0.3454,0.7146,0.6083
m015,bab/bAB/AAB,3.0,0.305577,0.7715,0.5848,0.2506,0.5355,0.3841,0.7521,0.3436,0.7144,0.6095
