index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.728575,0.00e+00,0.6406,0.3297,0.6935,0.4615,0.8871,0.0045,0.6138,0.3230,0.7204
1,m003,0.981369,0.799305,0.00e+00,0.6749,0.1612,0.7201,0.5080,0.8093,0.2950,0.5352,0.5649,0.6281
2,m007,1.014942,0.649699,0.00e+00,0.7475,0.5572,0.3616,0.3626,0.7984,0.4807,0.5566,0.2282,0.7988
3,m003,1.263709,0.775501,0.00e+00,0.7062,0.2192,0.6732,0.5509,0.7673,0.3281,0.4446,0.6026,0.6627
4,m004,1.284485,0.653293,0.00e+00,0.7826,0.0377,0.6214,0.0276,0.9993,0.0259,0.6219,0.0031,0.7831
5,m004,1.398509,0.475194,0.00e+00,0.9103,0.0296,0.4128,0.0318,0.9995,0.0015,0.4127,0.0117,0.9108
6,m009,1.414061,0.721234,0.00e+00,0.6378,0.6854,0.3514,0.5041,0.7164,0.4823,0.5823,0.1305,0.8024
7,m003,1.414061,0.789418,0.00e+00,0.6825,0.1754,0.7095,0.5134,0.8060,0.2946,0.5202,0.5653,0.6402
8,m003,1.423612,0.830210,0.00e+00,0.6592,0.1637,0.7339,0.5475,0.7735,0.3193,0.5154,0.6123,0.5995
9,m004,1.440699,0.550422,0.00e+00,0.8642,0.0219,0.5027,0.0255,0.9997,0.0002,0.5026,0.0130,0.8644
10,m004,1.463777,0.620319,0.00e+00,0.8053,0.0602,0.5898,0.0413,0.9981,0.0454,0.5914,0.0122,0.8063
11,m004,1.529477,0.601172,0.00e+00,0.8272,0.0211,0.5616,0.0254,0.9997,0.0002,0.5614,0.0141,0.8274
12,m003,1.543569,0.789735,0.00e+00,0.6909,0.1976,0.6954,0.5417,0.7785,0.3170,0.4788,0.5957,0.6449
13,m007,1.543569,0.598470,0.00e+00,0.8308,0.0164,0.5563,0.0167,0.9999,0.0046,0.5563,0.0054,0.8310
14,m007,1.583167,0.617355,0.00e+00,0.7962,0.4633,0.3891,0.2681,0.8467,0.4596,0.5424,0.2616,0.7983
15,m007,1.583167,0.674548,0.00e+00,0.7911,0.5603,0.2454,0.3382,0.7350,0.5877,0.5096,0.3819,0.7710
16,m006,1.588647,0.596076,0.00e+00,0.9511,0.2707,0.1489,0.1331,0.7941,0.5930,0.2788,0.5442,0.7913
17,m003,1.588647,0.780007,0.00e+00,0.6951,0.1965,0.6916,0.5298,0.7902,0.3080,0.4860,0.5805,0.6534
18,m006,1.649610,0.894794,0.00e+00,0.5980,0.1115,0.7937,0.5562,0.7708,0.3108,0.5772,0.6273,0.5229
19,m015,1.757126,0.577919,0.00e+00,0.8857,0.3800,0.2666,0.2006,0.8312,0.5185,0.4186,0.4058,0.8124
20,m007,1.824344,0.624672,0.00e+00,0.7798,0.4715,0.4118,0.2800,0.8511,0.4442,0.5599,0.2311,0.7957
21,m009,1.831931,0.675530,0.00e+00,0.6886,0.5850,0.4285,0.4160,0.8027,0.4273,0.5939,0.1160,0.7961
22,m010,1.831931,0.756257,0.00e+00,0.5839,0.4463,0.6781,0.5695,0.8205,0.0497,0.5786,0.3571,0.7333
23,m009,1.831931,0.536789,0.00e+00,0.8718,0.0295,0.4889,0.0311,0.9995,0.0048,0.4888,0.0110,0.8723
24,m011,1.831931,0.139342,0.00e+00,0.9733,0.2263,0.0386,0.2261,0.9741,0.0110,0.0401,0.0020,0.9992
25,m006,1.831931,0.717120,0.00e+00,0.6186,0.6742,0.4035,0.5276,0.7370,0.4225,0.5822,0.0485,0.8116
