sigma,U00,U01,U02,U10,U11,U12,U20,U21,U22,fitness
0.48,0.9997871043263362,0.0018135870842993403,0.02055375694727422,3.920899009715574e-06,0.9961464445600877,0.08770553560022855,0.020633613531965543,0.08768678288193762,0.9959343764025969,0.32665396705480787
0.481,0.9997801315262229,0.001861683134569115,0.020885946023956242,4.128949769748634e-06,0.9960683904164904,0.08858759278845665,0.02096875266583414,0.0885680289326126,0.9958493940665079,0.32690098531215867
0.482,0.9997729759234948,0.001910742549017075,0.02122134953273302,4.346641625239524e-06,0.9959892666500517,0.08947279306581864,0.02130719583112144,0.0894523883459993,0.9957631614118946,0.32715378779683246
0.483,0.9997656341003527,0.0019607771203805882,0.021559968112299054,4.574351310332661e-06,0.9959090679280515,0.0903611000251504,0.02164894572478,0.09033982384178152,0.9956756697726632,0.3274124143037581
0.484,0.9997581026087363,0.002011798646110563,0.021901802080808486,4.812467209688604e-06,0.9958277890202638,0.09125247718200734,0.021994004751739932,0.09123029804412632,0.9955869105576671,0.3276769037716892
0.485,0.9997503779707075,0.002063818926273996,0.022246851437143386,5.061389603733808e-06,0.9957454247999364,0.09214688797987887,0.022342375026149545,0.0921237734867258,0.9954968752521312,0.32794729427120706
0.486,0.9997424566788486,0.002116849761459627,0.022595115862239973,5.321530915473671e-06,0.9956619702447365,0.09304429579534132,0.022694058372665495,0.0930202126177804,0.9954055554190568,0.3282236229930961
0.487,0.999734335196663,0.0021709029506875046,0.0229465947204715,5.593315958779451e-06,0.9955774204376692,0.09394466394315173,0.023049056327791185,0.09391957780492624,0.9953129427006074,0.3285059262370974
0.488,0.9997260099589931,0.0022259902893231993,0.023301287061086917,5.877182188057141e-06,0.9954917705679642,0.094847955681281,0.023407370141262502,0.09482183134010519,0.9952190288194748,0.3287942394010486
0.489,0.9997174773724462,0.0022821235669973883,0.02365919161970375,6.173579949204922e-06,0.9954050159319332,0.09575413421588691,0.02376900077747939,0.09572693544437809,0.9951238055802243,0.32908859697041437
0.49,0.9997087338158266,0.002339314565531527,0.024020306819853957,6.482972731763431e-06,0.9953171519337944,0.09666316270622745,0.02413394891698197,0.09663485227268176,0.9950272648706212,0.3293890325082131
0.491,0.9996997756405841,0.0023975750568703542,0.024384630774582014,6.805837422161777e-06,0.995228174086468,0.09757500426951392,0.02450221495797056,0.09754554391852943,0.9949293986629361,0.3296955786453475
0.492,0.9996905991712643,0.002456916801021872,0.024752161288093332,7.142664557960053e-06,0.9951380780123403,0.09848962198570475,0.024873799017867633,0.09845897241865532,0.9948301990152295,0.3300082670713401
0.493,0.999681200705975,0.002517351544005511,0.025122895857452376,7.4939585829877425e-06,0.9950468594440016,0.09940697890223876,0.025248700934921174,0.09937509975760252,0.9947296580726169,0.3303271285254829
0.494,0.9996715765168576,0.0025788910158091737,0.02549683167432898,7.860238103275494e-06,0.9949545142249451,0.10032703803871007,0.02562692026984795,0.1002938878722562,0.9946277680685122,0.3306521927884015
0.495,0.9996617228505698,0.0026415469283557467,0.025873965626791763,8.242036143676453e-06,0.9948610383102444,0.10124976239148245,0.026008456307515592,0.10121529865632027,0.9945245213258505,0.33098348867404104
0.496,0.9996516359287735,0.002705330973479808,0.026254294301147497,8.639900405071733e-06,0.9947664277671963,0.10217511493824546,0.02639330805866245,0.10213929396473956,0.9944199102582897,0.33132104402207463
0.497,0.999641311948636,0.002770254820915094,0.026637813983825188,9.054393522053073e-06,0.9946706787759341,0.10310305864251126,0.02678147426165397,0.10306583561806675,0.9943139273713921,0.3316648856907409
0.498,0.9996307470833365,0.0028363301162933376,0.027024520663303568,9.486093320974656e-06,0.9945737876300095,0.10403355645805192,0.027172953384274362,0.10399488540677397,0.9942065652637826,0.33201503955011
0.499,0.9996199374825814,0.0029035684791551696,0.027414410032081317,9.935593078264555e-06,0.9944757507369497,0.10496657133327938,0.02756774362555293,0.10492640509551109,0.9940978166282877,0.3323715304757847
0.5,0.9996088792731257,0.00297198150097353,0.02780747748868817,1.0403501778885239e-05,0.994376564618777,0.10590206621556573,0.027965842917623256,0.10586035642730847,0.9939876742530513,0.33273438234303476
0.501,0.9995975685593059,0.0030415807431902957,0.028203718139736385,1.0890444374831285e-05,0.9942762259125066,0.10684000405550631,0.02836724892761479,0.10679670112772696,0.9938761310226308,0.3331036180213697
