word,length,t,phi_deg,mod_lambda
a,1,-0.444721,95.722,1.560056
b,1,0.520158,28.143,1.682293
A,1,-0.444721,95.722,1.560056
B,1,0.520158,28.143,1.682293
aa,2,0.889443,168.556,2.433774
ab,2,-0.499163,83.681,1.647341
aB,2,-0.444721,95.722,1.560056
ba,2,-0.499163,83.681,1.647341
bb,2,1.040315,56.286,2.830109
bA,2,-0.444721,95.722,1.560056
Ab,2,-0.444721,95.722,1.560056
AA,2,0.889443,168.556,2.433774
AB,2,-0.499163,83.681,1.647341
Ba,2,-0.444721,95.722,1.560056
BA,2,-0.499163,83.681,1.647341
BB,2,1.040315,56.286,2.830109
aaa,3,1.334164,72.834,3.796822
aab,3,-0.998325,167.362,2.713733
aaB,3,-0.867124,176.731,2.380055
aba,3,-0.998325,167.362,2.713733
abb,3,-0.578082,57.821,1.782617
abA,3,0.520158,28.143,1.682293
aBa,3,-0.867124,176.731,2.380055
aBA,3,0.520158,28.143,1.682293
aBB,3,-0.499163,83.681,1.647341
baa,3,-0.998325,167.362,2.713733
bab,3,-0.578082,57.821,1.782617
baB,3,-0.444721,95.722,1.560056
bba,3,-0.578082,57.821,1.782617
bbb,3,1.560473,84.429,4.761071
bbA,3,-0.499163,83.681,1.647341
bAb,3,-0.499163,83.681,1.647341
bAA,3,-0.867124,176.731,2.380055
bAB,3,-0.444721,95.722,1.560056
Aba,3,0.520158,28.143,1.682293
Abb,3,-0.499163,83.681,1.647341
AbA,3,-0.867124,176.731,2.380055
AAb,3,-0.867124,176.731,2.380055
AAA,3,1.334164,72.834,3.796822
AAB,3,-0.998325,167.362,2.713733
ABa,3,0.520158,28.143,1.682293
ABA,3,-0.998325,167.362,2.713733
ABB,3,-0.578082,57.821,1.782617
Baa,3,-0.867124,176.731,2.380055
Bab,3,-0.444721,95.722,1.560056
BaB,3,-0.499163,83.681,1.647341
BAb,3,-0.444721,95.722,1.560056
BAA,3,-0.998325,167.362,2.713733
BAB,3,-0.578082,57.821,1.782617
BBa,3,-0.499163,83.681,1.647341
BBA,3,-0.578082,57.821,1.782617
BBB,3,1.560473,84.429,4.761071
aaaa,4,-1.778886,22.888,5.923254
aaab,4,1.42042,90.75,4.138858
aaaB,4,1.338991,79.675,3.815194
aaba,4,1.42042,90.75,4.138858
aabb,4,-1.443137,131.919,4.233956
aabA,4,-0.499163,83.681,1.647341
aaBa,4,1.338991,79.675,3.815194
aaBA,4,-0.444721,95.722,1.560056
aaBB,4,-1.224297,138.477,3.401773
abaa,4,1.42042,90.75,4.138858
abab,4,-0.998325,167.362,2.713733
abaB,4,-1.224297,138.477,3.401773
abba,4,-1.443137,131.919,4.233956
abbb,4,-0.889443,11.444,2.433774
abbA,4,1.040315,56.286,2.830109
abAb,4,-0.360784,32.98,1.434454
abAA,4,-0.444721,95.722,1.560056
abAB,4,1.182898,56.339,3.26382
aBaa,4,1.338991,79.675,3.815194
aBab,4,-1.224297,138.477,3.401773
aBaB,4,0.889443,168.556,2.433774
aBAb,4,1.182898,56.339,3.26382
aBAA,4,-0.499163,83.681,1.647341
aBAB,4,-0.360784,32.98,1.434454
aBBa,4,-1.224297,138.477,3.401773
aBBA,4,1.040315,56.286,2.830109
aBBB,4,-0.578082,57.821,1.782617
baaa,4,1.42042,90.75,4.138858
baab,4,-1.443137,131.919,4.233956
baaB,4,0.889443,168.556,2.433774
baba,4,-0.998325,167.362,2.713733
babb,4,-0.889443,11.444,2.433774
babA,4,-0.360784,32.98,1.434454
baBa,4,-1.224297,138.477,3.401773
baBA,4,1.182898,56.339,3.26382
baBB,4,-0.444721,95.722,1.560056
bbaa,4,-1.443137,131.919,4.233956
bbab,4,-0.889443,11.444,2.433774
bbaB,4,-0.499163,83.681,1.647341
bbba,4,-0.889443,11.444,2.433774
bbbb,4,2.08063,112.572,8.009515
bbbA,4,-0.578082,57.821,1.782617
bbAb,4,-0.578082,57.821,1.782617
bbAA,4,-1.224297,138.477,3.401773
bbAB,4,-0.444721,95.722,1.560056
bAba,4,-0.360784,32.98,1.434454
bAbb,4,-0.578082,57.821,1.782617
bAbA,4,0.889443,168.556,2.433774
bAAb,4,-1.224297,138.477,3.401773
bAAA,4,1.338991,79.675,3.815194
