words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
bAA AbA AAb,0.01729013345788835,0.9743938570885724,0.2245803827411157,0.010966446822445063,0.22380672292699766,0.9734156421241176,0.048708710111951645,0.0216139316352585,0.04500710339430908,0.9987528215746478
aaB AbA AAb,0.0172901334578884,0.9743938570885724,0.22458038274111558,0.010966446822445101,0.22380672292699755,0.9734156421241176,0.048708710111951645,0.02161393163525853,0.04500710339430907,0.9987528215746478
bAA AbA Baa,0.01729013345788854,0.9743938570885724,0.22458038274111566,0.010966446822444801,0.22380672292699766,0.9734156421241174,0.04870871011195219,0.021613931635258366,0.045007103394309675,0.9987528215746478
aaB AbA Baa,0.01729013345788857,0.9743938570885724,0.22458038274111555,0.010966446822444825,0.22380672292699755,0.9734156421241174,0.048708710111952186,0.021613931635258384,0.04500710339430966,0.9987528215746478
aaB aBa AAb,0.017290133457890555,0.9743938570885731,0.22458038274111178,0.010966446822444707,0.22380672292699372,0.9734156421241182,0.04870871011195419,0.021613931635258547,0.04500710339431173,0.9987528215746477
aaB aBa Baa,0.017290133457890766,0.9743938570885731,0.2245803827411118,0.01096644682244442,0.22380672292699372,0.9734156421241182,0.04870871011195481,0.0216139316352584,0.04500710339431239,0.9987528215746477
aaB aBa ABA,0.032204858541658346,0.9744437751250599,0.22416985240326806,0.014394665453529246,0.2238181885084727,0.9743681862507352,0.02262865694729224,0.0190983667576001,0.01882856595573495,0.999640304055035
bAA AbA ABA,0.032204858541660025,0.974443775125059,0.22416985240327192,0.014394665453529479,0.2238181885084766,0.9743681862507343,0.02262865694729072,0.01909836675760006,0.018828565955733338,0.999640304055035
aaB AbA ABA,0.03220485854166005,0.974443775125059,0.2241698524032718,0.014394665453529507,0.2238181885084765,0.9743681862507343,0.022628656947290715,0.019098366757600085,0.018828565955733335,0.999640304055035
aBa bAA AAB,0.042607677654599926,0.9745618149229065,0.2239545214033869,0.00858144726433298,0.22384530085132986,0.9745497208388827,0.012088130526816936,0.011070238522644257,0.009859713780615266,0.9998901118939102
aBa bAA ABA,0.04843172608691202,0.9743101122339761,0.22407085728264384,0.022628656947292245,0.22378748772622487,0.9745316587693111,0.014394665453529213,0.025277767619035565,0.008960857824745469,0.999640304055035
aaB aBa baa,0.04870886294159997,0.9745300343224319,0.2239309922808503,0.012088130526816919,0.22383800122398376,0.9745885839526859,0.008581447264333046,0.013702606013873622,0.005657095121389301,0.9998901118939101
aaB aBa AAB,0.048708862941600074,0.9745300343224319,0.2239309922808503,0.012088130526816947,0.22383800122398376,0.9745885839526859,0.00858144726433298,0.013702606013873634,0.005657095121389231,0.9998901118939101
bAA AbA AAB,0.04870886294160092,0.974530034322431,0.22393099228085414,0.012088130526817072,0.22383800122398761,0.974588583952685,0.008581447264332234,0.013702606013873611,0.005657095121388422,0.9998901118939101
aaB AbA AAB,0.048708862941600935,0.974530034322431,0.22393099228085403,0.012088130526817085,0.2238380012239875,0.974588583952685,0.00858144726433223,0.013702606013873624,0.0056570951213884176,0.9998901118939101
BB bAA ABA,0.05175214225585919,0.9794514283165516,0.20124344838504554,0.013265521126698515,0.20101324511668542,0.9794432105006856,0.016872246198082846,0.01638825360820193,0.013859000187779132,0.9997696500981956
BB aaB ABA,0.05175214225585925,0.9794514283165516,0.20124344838504546,0.013265521126698515,0.2010132451166853,0.9794432105006856,0.016872246198082873,0.016388253608201935,0.01385900018777916,0.9997696500981956
BB aaB aba,0.051752142255859376,0.9794514283165516,0.20124344838504546,0.013265521126698609,0.2010132451166853,0.9794432105006856,0.016872246198082787,0.01638825360820201,0.013859000187779054,0.9997696500981956
bb bAA ABA,0.0517521422558594,0.9794514283165516,0.20124344838504538,0.013265521126698593,0.20101324511668522,0.9794432105006856,0.016872246198082835,0.016388253608202005,0.013859000187779106,0.9997696500981956
bb aaB ABA,0.05175214225585948,0.9794514283165516,0.20124344838504526,0.01326552112669859,0.2010132451166851,0.9794432105006856,0.01687224619808286,0.016388253608202005,0.013859000187779134,0.9997696500981956
bb aaB aba,0.05175214225585961,0.9794514283165516,0.20124344838504526,0.013265521126698683,0.2010132451166851,0.9794432105006856,0.01687224619808277,0.016388253608202077,0.013859000187779025,0.9997696500981956
BB bAA AAB,0.05302518898147606,0.9795639428302225,0.20110020243502008,0.0036318710744996357,0.20103633651954822,0.9794933017605296,0.013314022872700232,0.006234846085254716,0.012311798684585287,0.9999047686192137
BB aaB AAB,0.05302518898147617,0.9795639428302225,0.20110020243502,0.003631871074499635,0.20103633651954808,0.9794933017605298,0.013314022872700244,0.006234846085254716,0.012311798684585299,0.9999047686192137
BB aaB baa,0.0530251889814762,0.9795639428302225,0.20110020243502,0.0036318710744996843,0.20103633651954808,0.9794933017605298,0.013314022872700221,0.0062348460852547595,0.012311798684585267,0.9999047686192137
bb bAA AAB,0.05302518898147629,0.9795639428302225,0.2011002024350199,0.0036318710744996647,0.20103633651954797,0.9794933017605298,0.013314022872700225,0.00623484608525474,0.012311798684585276,0.9999047686192137
bb aaB AAB,0.0530251889814764,0.9795639428302225,0.20110020243501972,0.0036318710744996643,0.20103633651954786,0.9794933017605297,0.013314022872700235,0.00623484608525474,0.012311798684585287,0.9999047686192137
bb aaB baa,0.05302518898147642,0.9795639428302225,0.20110020243501972,0.00363187107449972,0.20103633651954786,0.9794933017605297,0.01331402287270021,0.00623484608525479,0.012311798684585254,0.9999047686192137
BB bAA AAb,0.06864402306926977,0.9789181816136627,0.20131693579364232,0.034506304769676546,0.20090380666257077,0.9794948289575802,0.015084446090227625,0.03683550155336148,0.007833990555208116,0.9992906356097275
BB aaB AAb,0.06864402306926988,0.9789181816136632,0.20131693579364218,0.03450630476967655,0.20090380666257063,0.9794948289575803,0.015084446090227664,0.03683550155336149,0.00783399055520816,0.9992906356097275
bb bAA AAb,0.06864402306927012,0.9789181816136632,0.2013169357936421,0.03450630476967669,0.20090380666257054,0.9794948289575803,0.015084446090227608,0.03683550155336161,0.007833990555208078,0.9992906356097275
bb aaB AAb,0.06864402306927017,0.9789181816136632,0.201316935793642,0.034506304769676685,0.20090380666257043,0.9794948289575803,0.01508444609022764,0.03683550155336161,0.007833990555208115,0.9992906356097275
BB bAA Baa,0.06864402306927041,0.9789181816136627,0.20131693579364232,0.034506304769677025,0.20090380666257077,0.9794948289575802,0.015084446090227393,0.0368355015533619,0.007833990555207792,0.9992906356097275
BB aaB Baa,0.0686440230692705,0.9789181816136627,0.20131693579364215,0.03450630476967702,0.2009038066625706,0.9794948289575803,0.015084446090227417,0.0368355015533619,0.007833990555207823,0.9992906356097275
bb bAA Baa,0.06864402306927075,0.9789181816136632,0.2013169357936421,0.03450630476967718,0.20090380666257054,0.9794948289575803,0.01508444609022737,0.03683550155336204,0.007833990555207749,0.9992906356097275
bb aaB Baa,0.06864402306927082,0.9789181816136632,0.201316935793642,0.03450630476967718,0.20090380666257043,0.9794948289575803,0.015084446090227388,0.03683550155336204,0.00783399055520777,0.9992906356097275
aBa bAA AAb,0.07913855404977922,0.9734060324768119,0.22384851461866237,0.048708710111954205,0.223579831318866,0.9746239254561311,0.010966446822444664,0.04992749708506634,0.00021547969878646378,0.9987528215746477
aBa bAA Baa,0.07913855404977974,0.9734060324768119,0.22384851461866237,0.048708710111954816,0.223579831318866,0.9746239254561311,0.010966446822444388,0.049927497085066865,0.0002154796987868697,0.9987528215746476
AA aaB BAA,0.14784983828536208,0.9883725808892168,0.15191474302154392,0.006446099525100227,0.15165117976059045,0.98181045770365,0.11423723045036764,0.011025471582218558,0.11388650489170168,0.9934325860268235
