words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
BB aaB AAb,0.03151486808985616,0.9706839665590965,0.24027684314126177,0.006298866181131757,0.24035938367653847,0.9703438952445146,0.025692248643066247,6.11860513329941e-05,0.026453045415831936,0.999650055091528
bb bAA Baa,0.03151486808985647,0.970683966559097,0.24027684314126171,0.0062988661811316455,0.24035938367653842,0.9703438952445146,0.025692248643065792,6.118605133299243e-05,0.026453045415831468,0.999650055091528
BB aaB ABA,0.0392385688442224,0.9706839677265404,0.24031729628353293,0.004497989065451433,0.2403593839656193,0.9705111271902763,0.018317165160786957,3.658316901843858e-05,0.01886131243663104,0.9998221089548078
BB aaB bAA,0.062392822338823734,0.9706839682965964,0.2403593840371219,1.4045193863427792e-05,0.2403593841067757,0.9706839683747355,3.4766654477794836e-06,1.2797795350413149e-05,6.750637559964022e-06,0.9999999998953227
bb bAA AbA,0.06239284313447519,0.9706839683760873,0.24035938412039942,1.7067491532356539e-06,0.24035938412645905,0.9706839683515104,6.907484351138976e-06,3.5646434176965673e-09,7.115217496789382e-06,0.9999999999746868
BB aaB aBa,0.06239284313447522,0.9706839683760873,0.24035938412039948,1.7067491532357149e-06,0.2403593841264591,0.9706839683515104,6.907484351139221e-06,3.564643417696506e-09,7.115217496789635e-06,0.9999999999746868
bb bAA AAA,0.06239813070414239,0.970683968361485,0.2403593841100683,6.019026678114815e-06,0.2403593841228431,0.9706839683758443,1.4867556838950065e-06,5.485217021169417e-06,2.8898994525978373e-06,0.9999999999807805
bb bAA BAA,0.06240106563858163,0.9706839683760866,0.24035938412641375,1.524070138742488e-07,0.24035938412645885,0.970683968375776,7.778895489761334e-07,3.90340078745194e-08,7.917173703498046e-07,0.9999999999996858
BB aaB AAB,0.0625670854549797,0.970064626599284,0.2396700338793245,0.03915220403853623,0.24020602359627,0.9706750156794346,0.009543592813899129,0.0357167530559529,0.01866249704655728,0.9991876824476608
BB aaB baa,0.07835368551159018,0.9706837902871785,0.23936716748594986,0.02182517820017371,0.2403593400283368,0.9664419546902481,0.09064952220301374,0.0006057514824512498,0.09323790722793776,0.9956436740726554
bb bAA AAB,0.0783536855115913,0.9706837902871785,0.23936716748594977,0.0218251782001739,0.2403593400283367,0.9664419546902481,0.09064952220301459,0.0006057514824512612,0.09323790722793862,0.9956436740726553
BB aba bAA,0.09611497594078929,0.9866354931195747,0.16291700743412638,0.0029073020831904385,0.1629429456818653,0.9864770037987437,0.01768381827463781,1.300810514935806e-05,0.01792120712905629,0.9998394021870846
bb ABA BAA,0.10701542688321299,0.9866354932030488,0.16294293055755338,7.023740742927753e-05,0.16294294569564988,0.9866354014353745,0.00042553787330506816,3.967546479148887e-08,0.0004312954595694743,0.9999999069921082
BB aba baa,0.10715454918725453,0.9866353061893154,0.16294281518754228,0.000641529013245442,0.16294291481031514,0.9866354926245634,0.00010586124620271798,0.0006157059645408344,0.0002089790504143987,0.9999997886169385
BB aba aBa,0.10728650946877583,0.9866354932030488,0.1629429452597608,1.1918495417511677e-05,0.16294294569565115,0.9866354905620635,7.218989307257051e-05,3.6232222135035267e-09,7.316714550752046e-05,0.9999999973232844
BB aba AAb,0.10732280346835782,0.986635491295001,0.16294294436372952,6.48008541888864e-05,0.16294294538053683,0.9866354931970839,1.0698736806393792e-05,6.219153905603783e-05,2.11145954899241e-05,0.9999999978431932
bb ABA Baa,0.10732280346835919,0.986635491295001,0.16294294436372833,6.48008541888846e-05,0.1629429453805357,0.9866354931970839,1.0698736806393423e-05,6.219153905603614e-05,2.1114595489923364e-05,0.9999999978431932
BB aba ABA,0.10733055327124395,0.9866354925209506,0.16294294521948147,3.8744577865954124e-05,0.1629429455830025,0.986635493200912,6.397485238455074e-06,3.718435060488476e-05,1.2625141641987198e-05,0.9999999992289649
aaB AbA AAB,0.10940083031243908,0.9542515115137098,0.2988674685617134,0.009071328971762509,0.2990050700520128,0.9537974910675616,0.02943321451041361,0.00014441949844564052,0.03079906278993614,0.9995255859027672
aBa bAA Baa,0.10997659585763071,0.9542515153538089,0.298891169712624,0.008253127454398884,0.29900507125526604,0.9538774232535835,0.026717574192601467,0.00011317505232505501,0.0279630126224491,0.9996089520990118
aaB AbA ABA,0.11828820104376823,0.9541229179455806,0.29880846117594256,0.01905153486406181,0.29896477655665776,0.9542459114280604,0.005899398381031868,0.01641705909836015,0.011324489061129171,0.9998010982780852
aaB AbA AAb,0.11831954364763787,0.9539984194629665,0.2986187986236377,0.026717574192601998,0.29892576621497513,0.954240678330164,0.008253127454399132,0.023030457115564586,0.015860041884052187,0.9996089520990117
aBa bAA AbA,0.12269187333930322,0.9542515214651186,0.29900507316170344,2.2518735666264597e-06,0.29900507317018316,0.9542515214380277,7.190463383226663e-06,1.1312529288617856e-09,7.5348322440424125e-06,0.9999999999716132
aBa bAA AAA,0.12269563602301259,0.9542515214618326,0.2990050731651321,3.0482573591379314e-06,0.29900507316915353,0.9542515214649667,9.514735017937396e-07,2.6243088187556313e-06,1.8193894514247416e-06,0.9999999999949014
aBa bAA BAA,0.12269627161773994,0.9542515214651184,0.2990050731700884,2.386529713098946e-07,0.2990050731701831,0.9542515214647708,8.149302382730473e-07,1.59333145487949e-08,8.490068689087834e-07,0.9999999999996395
