index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.504610,0.00e+00,1.0000,0.0000,0.0001,0.0000,0.8832,0.4690,0.0001,0.4690,0.8832
1,m003,0.981369,0.714545,0.00e+00,0.8487,0.5278,0.0336,0.4102,0.6170,0.6716,0.3338,0.5838,0.7401
2,m007,1.014942,0.615169,0.00e+00,0.9954,0.0931,0.0244,0.0880,0.7785,0.6214,0.0388,0.6207,0.7831
3,m003,1.263709,0.185987,0.00e+00,0.9471,0.3209,0.0063,0.3209,0.9471,0.0020,0.0053,0.0039,1.0000
4,m004,1.284485,0.294527,0.00e+00,0.9973,0.0012,0.0732,0.0000,0.9999,0.0163,0.0732,0.0162,0.9972
5,m004,1.398509,0.289025,0.00e+00,1.0000,0.0002,0.0033,0.0002,1.0000,0.0000,0.0033,0.0000,1.0000
6,m009,1.414061,0.800136,0.00e+00,0.7610,0.6405,0.1026,0.5176,0.5042,0.6913,0.3911,0.5792,0.7152
7,m003,1.414061,0.667291,0.00e+00,1.0000,0.0000,0.0000,0.0000,0.7552,0.6555,0.0000,0.6555,0.7552
8,m003,1.423612,0.289209,0.00e+00,1.0000,0.0000,0.0001,0.0000,1.0000,0.0000,0.0001,0.0000,1.0000
9,m004,1.440699,0.289188,0.00e+00,1.0000,0.0000,0.0000,0.0000,1.0000,0.0002,0.0000,0.0002,1.0000
10,m004,1.463777,0.258736,0.00e+00,0.9984,0.0405,0.0385,0.0406,0.9992,0.0011,0.0384,0.0026,0.9993
11,m004,1.529477,0.743962,0.00e+00,0.7071,0.0014,0.7071,0.0020,1.0000,0.0000,0.7071,0.0014,0.7071
12,m003,1.543569,0.286177,0.00e+00,1.0000,0.0000,0.0000,0.0000,0.9992,0.0390,0.0000,0.0390,0.9992
13,m007,1.543569,0.282065,0.00e+00,1.0000,0.0089,0.0002,0.0089,1.0000,0.0005,0.0002,0.0005,1.0000
14,m007,1.583167,0.287773,0.00e+00,1.0000,0.0000,0.0000,0.0000,0.9999,0.0113,0.0000,0.0113,0.9999
15,m007,1.583167,0.678774,0.00e+00,0.9961,0.0813,0.0347,0.0361,0.7322,0.6801,0.0807,0.6762,0.7323
16,m006,1.588647,0.675912,0.00e+00,0.9992,0.0390,0.0129,0.0375,0.7381,0.6737,0.0167,0.6736,0.7389
17,m003,1.588647,0.541779,0.00e+00,0.8022,0.5060,0.3169,0.3880,0.8452,0.3675,0.4538,0.1719,0.8744
18,m006,1.649610,0.147193,0.00e+00,0.9835,0.1807,0.0014,0.1807,0.9835,0.0076,0.0000,0.0077,1.0000
19,m015,1.757126,0.653814,0.00e+00,1.0000,0.0005,0.0004,0.0001,0.7672,0.6414,0.0006,0.6414,0.7672
20,m007,1.824344,0.610316,0.00e+00,0.8257,0.0000,0.5641,0.0000,1.0000,0.0001,0.5641,0.0000,0.8257
21,m009,1.831931,0.488856,0.00e+00,0.7844,0.6199,0.0203,0.6072,0.7609,0.2289,0.1264,0.1919,0.9732
22,m010,1.831931,0.694953,0.00e+00,0.9972,0.0720,0.0177,0.0394,0.7169,0.6960,0.0628,0.6934,0.7178
23,m009,1.831931,0.650290,0.00e+00,1.0000,0.0009,0.0004,0.0010,0.7702,0.6379,0.0003,0.6379,0.7702
24,m011,1.831931,0.289180,0.00e+00,1.0000,0.0000,0.0000,0.0000,1.0000,0.0002,0.0000,0.0002,1.0000
25,m006,1.831931,0.644627,0.00e+00,1.0000,0.0000,0.0000,0.0000,0.7754,0.6315,0.0000,0.6315,0.7754
