index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.739003,0.00e+00,0.6272,0.3470,0.6973,0.4880,0.8728,0.0046,0.6070,0.3431,0.7168
1,m003,0.981369,0.832932,0.00e+00,0.6526,0.1419,0.7443,0.5250,0.7930,0.3090,0.5464,0.5924,0.5920
2,m007,1.014942,0.670914,0.00e+00,0.7130,0.6003,0.3623,0.4098,0.7761,0.4793,0.5689,0.1933,0.7993
3,m003,1.263709,0.828060,0.00e+00,0.6779,0.1702,0.7152,0.5605,0.7491,0.3530,0.4757,0.6402,0.6032
4,m004,1.284485,0.664778,0.00e+00,0.7649,0.0714,0.6402,0.0590,0.9974,0.0407,0.6415,0.0066,0.7671
5,m004,1.398509,0.518538,0.00e+00,0.8758,0.0604,0.4788,0.0672,0.9977,0.0029,0.4779,0.0296,0.8779
6,m009,1.414061,0.729354,0.00e+00,0.6241,0.6987,0.3498,0.5212,0.7058,0.4798,0.5821,0.1171,0.8046
7,m003,1.414061,0.826568,0.00e+00,0.6585,0.1519,0.7371,0.5295,0.7895,0.3103,0.5348,0.5946,0.6003
8,m003,1.423612,0.859181,0.00e+00,0.6404,0.1389,0.7554,0.5555,0.7630,0.3306,0.5304,0.6313,0.5657
9,m004,1.440699,0.584295,0.00e+00,0.8332,0.0466,0.5511,0.0561,0.9984,0.0004,0.5502,0.0312,0.8345
10,m004,1.463777,0.636809,0.00e+00,0.7823,0.1037,0.6142,0.0805,0.9946,0.0653,0.6177,0.0016,0.7864
11,m004,1.529477,0.625649,0.00e+00,0.8014,0.0448,0.5965,0.0556,0.9985,0.0004,0.5956,0.0329,0.8026
12,m003,1.543569,0.833068,0.00e+00,0.6653,0.1604,0.7291,0.5522,0.7630,0.3361,0.5024,0.6262,0.5962
13,m007,1.543569,0.624451,0.00e+00,0.8049,0.0379,0.5922,0.0403,0.9991,0.0090,0.5920,0.0166,0.8057
14,m007,1.583167,0.640663,0.00e+00,0.7571,0.5221,0.3927,0.3290,0.8241,0.4611,0.5644,0.2199,0.7957
15,m007,1.583167,0.696248,0.00e+00,0.7491,0.6142,0.2482,0.3908,0.7122,0.5831,0.5349,0.3398,0.7736
16,m006,1.588647,0.618223,0.00e+00,0.9121,0.3728,0.1705,0.2024,0.7713,0.6035,0.3565,0.5159,0.7789
17,m003,1.588647,0.824430,0.00e+00,0.6685,0.1618,0.7259,0.5430,0.7732,0.3277,0.5083,0.6132,0.6047
18,m006,1.649610,0.901113,0.00e+00,0.5932,0.1090,0.7977,0.5612,0.7664,0.3126,0.5773,0.6330,0.5158
19,m015,1.757126,0.609839,0.00e+00,0.8391,0.4650,0.2822,0.2691,0.8057,0.5276,0.4727,0.3668,0.8012
20,m007,1.824344,0.645942,0.00e+00,0.7432,0.5261,0.4134,0.3392,0.8289,0.4448,0.5767,0.1903,0.7945
21,m009,1.831931,0.689078,0.00e+00,0.6653,0.6136,0.4254,0.4523,0.7845,0.4242,0.5940,0.0898,0.7994
22,m010,1.831931,0.757588,0.00e+00,0.5824,0.4474,0.6787,0.5713,0.8192,0.0498,0.5783,0.3588,0.7327
23,m009,1.831931,0.571586,0.00e+00,0.8397,0.0598,0.5398,0.0655,0.9978,0.0087,0.5391,0.0280,0.8418
24,m011,1.831931,0.196968,0.00e+00,0.9472,0.3107,0.0789,0.3098,0.9505,0.0240,0.0824,0.0017,0.9966
25,m006,1.831931,0.723372,0.00e+00,0.6091,0.6833,0.4026,0.5392,0.7291,0.4215,0.5815,0.0397,0.8126
26,m007,1.843586,0.401090,0.00e+00,0.8471,0.4661,0.2553,0.4926,0.8690,0.0477,0.1996,0.1661,0.9657
27,m009,1.843586,0.695433,0.00e+00,0.7155,0.1385,0.6848,0.1854,0.9826,0.0050,0.6736,0.1234,0.7287
28,m016,1.885415,0.655253,0.00e+00,0.7053,0.3370,0.6237,0.4351,0.9004,0.0056,0.5597,0.2753,0.7817
29,m007,1.885415,0.623695,0.00e+00,0.7826,0.4720,0.4059,0.2793,0.8489,0.4487,0.5563,0.2378,0.7962
30,m006,1.885415,0.714986,0.00e+00,0.6262,0.6663,0.4048,0.5120,0.7430,0.4310,0.5879,0.0626,0.8065
31,m017,1.885415,0.600331,0.00e+00,0.7839,0.1890,0.5914,0.2401,0.9707,0.0079,0.5726,0.1482,0.8064
32,m006,1.885914,0.705781,0.00e+00,0.6100,0.5897,0.5293,0.5302,0.8001,0.2804,0.5889,0.1096,0.8007
33,m010,1.910844,0.752928,0.00e+00,0.5894,0.4394,0.6779,0.5645,0.8243,0.0435,0.5779,0.3571,0.7338
34,m011,1.912210,0.206727,0.00e+00,0.9535,0.2742,0.1247,0.2754,0.9613,0.0083,0.1222,0.0264,0.9922
35,m006,1.922297,0.706856,0.00e+00,0.6098,0.5593,0.5616,0.5264,0.8155,0.2406,0.5925,0.1490,0.7917
