index,name,volume,fitness,jarlskog,u11,u12,u13,u21,u22,u23,u31,u32,u33
0,m003,0.942707,0.752410,0.00e+00,0.6104,0.3676,0.7017,0.5198,0.8543,0.0046,0.5977,0.3676,0.7125
1,m003,0.981369,0.871751,0.00e+00,0.6258,0.1176,0.7711,0.5444,0.7738,0.3238,0.5586,0.6225,0.5482
2,m007,1.014942,0.698672,0.00e+00,0.6680,0.6509,0.3609,0.4686,0.7445,0.4754,0.5781,0.1485,0.8023
3,m003,1.263709,0.886993,0.00e+00,0.6429,0.1084,0.7582,0.5692,0.7300,0.3783,0.5125,0.6748,0.5310
4,m004,1.284485,0.672437,0.00e+00,0.7380,0.1489,0.6581,0.1432,0.9877,0.0628,0.6594,0.0479,0.7503
5,m004,1.398509,0.575705,0.00e+00,0.8171,0.1339,0.5608,0.1580,0.9874,0.0057,0.5545,0.0839,0.8279
6,m009,1.414061,0.739193,0.00e+00,0.6076,0.7142,0.3476,0.5414,0.6926,0.4766,0.5811,0.1014,0.8075
7,m003,1.414061,0.869235,0.00e+00,0.6296,0.1221,0.7673,0.5476,0.7703,0.3268,0.5511,0.6259,0.5518
8,m003,1.423612,0.892127,0.00e+00,0.6179,0.1089,0.7787,0.5641,0.7513,0.3426,0.5477,0.6509,0.5256
9,m004,1.440699,0.623191,0.00e+00,0.7858,0.1104,0.6086,0.1397,0.9902,0.0007,0.6025,0.0856,0.7935
10,m004,1.463777,0.652097,0.00e+00,0.7467,0.1922,0.6368,0.1743,0.9804,0.0916,0.6419,0.0426,0.7656
11,m004,1.529477,0.651288,0.00e+00,0.7632,0.1071,0.6372,0.1384,0.9904,0.0007,0.6312,0.0877,0.7707
12,m003,1.543569,0.882021,0.00e+00,0.6343,0.1139,0.7647,0.5630,0.7460,0.3558,0.5299,0.6561,0.5373
13,m007,1.543569,0.649822,0.00e+00,0.7677,0.0986,0.6331,0.1130,0.9934,0.0177,0.6307,0.0580,0.7738
14,m007,1.583167,0.673265,0.00e+00,0.7017,0.5948,0.3922,0.4117,0.7878,0.4581,0.5814,0.1600,0.7977
15,m007,1.583167,0.726395,0.00e+00,0.6926,0.6771,0.2488,0.4567,0.6786,0.5752,0.5583,0.2848,0.7792
16,m006,1.588647,0.661948,0.00e+00,0.8316,0.5217,0.1905,0.3173,0.7278,0.6079,0.4558,0.4451,0.7708
17,m003,1.588647,0.874856,0.00e+00,0.6362,0.1179,0.7625,0.5570,0.7541,0.3481,0.5339,0.6461,0.5454
18,m006,1.649610,0.908521,0.00e+00,0.5875,0.1061,0.8023,0.5670,0.7613,0.3146,0.5774,0.6397,0.5074
19,m015,1.757126,0.657492,0.00e+00,0.7640,0.5743,0.2939,0.3690,0.7627,0.5311,0.5292,0.2973,0.7947
20,m007,1.824344,0.675747,0.00e+00,0.6918,0.5937,0.4110,0.4188,0.7936,0.4413,0.5882,0.1332,0.7977
21,m009,1.831931,0.706687,0.00e+00,0.6356,0.6474,0.4206,0.4965,0.7600,0.4194,0.5912,0.0578,0.8045
22,m010,1.831931,0.759156,0.00e+00,0.5806,0.4486,0.6795,0.5735,0.8177,0.0498,0.5780,0.3607,0.7320
23,m009,1.831931,0.612631,0.00e+00,0.7893,0.1326,0.5996,0.1542,0.9879,0.0156,0.5944,0.0801,0.8002
24,m011,1.831931,0.331929,0.00e+00,0.8828,0.4347,0.1778,0.4317,0.9002,0.0574,0.1850,0.0261,0.9824
25,m006,1.831931,0.730834,0.00e+00,0.5978,0.6939,0.4013,0.5530,0.7195,0.4202,0.5804,0.0293,0.8138
26,m007,1.843586,0.530802,0.00e+00,0.7769,0.4723,0.4164,0.5491,0.8318,0.0811,0.3080,0.2917,0.9056
27,m009,1.843586,0.702926,0.00e+00,0.6895,0.2137,0.6920,0.2906,0.9568,0.0059,0.6634,0.1970,0.7219
28,m016,1.885415,0.698494,0.00e+00,0.6619,0.3635,0.6556,0.4859,0.8740,0.0060,0.5708,0.3225,0.7551
29,m007,1.885415,0.658482,0.00e+00,0.7229,0.5580,0.4075,0.3738,0.8119,0.4484,0.5811,0.1718,0.7955
30,m006,1.885415,0.725400,0.00e+00,0.6091,0.6838,0.4017,0.5355,0.7283,0.4277,0.5850,0.0454,0.8098
31,m017,1.885415,0.649469,0.00e+00,0.7276,0.2575,0.6358,0.3412,0.9399,0.0098,0.5951,0.2240,0.7718
32,m006,1.885914,0.713431,0.00e+00,0.5985,0.6025,0.5280,0.5472,0.7888,0.2799,0.5852,0.1214,0.8018
33,m010,1.910844,0.756814,0.00e+00,0.5851,0.4417,0.6802,0.5692,0.8211,0.0436,0.5777,0.3616,0.7317
34,m011,1.912210,0.348695,0.00e+00,0.8852,0.3914,0.2513,0.3998,0.9164,0.0189,0.2377,0.0838,0.9677
35,m006,1.922297,0.714349,0.00e+00,0.5984,0.5730,0.5600,0.5447,0.8035,0.2401,0.5875,0.1614,0.7929
36,m006,1.941503,0.718099,0.00e+00,0.6094,0.4839,0.6281,0.5146,0.8440,0.1510,0.6031,0.2312,0.7634
37,m009,1.941503,0.727771,0.00e+00,0.6108,0.6877,0.3923,0.5313,0.7234,0.4409,0.5870,0.0609,0.8073
38,m006,1.953708,0.721321,0.00e+00,0.6100,0.6704,0.4226,0.5319,0.7416,0.4087,0.5874,0.0245,0.8089
39,m006,1.962738,0.719460,0.00e+00,0.5970,0.6524,0.4669,0.5518,0.7564,0.3513,0.5823,0.0478,0.8115
40,m017,1.962738,0.713424,0.00e+00,0.6414,0.3741,0.6699,0.4703,0.8815,0.0420,0.6062,0.2880,0.7413
41,m023,2.014337,0.641767,0.00e+00,0.7614,0.1900,0.6198,0.1429,0.9818,0.1254,0.6323,0.0069,0.7747
42,m007,2.025945,0.668703,0.00e+00,0.7311,0.5848,0.3514,0.3817,0.7775,0.4998,0.5655,0.2313,0.7917
43,m006,2.028853,0.760655,0.00e+00,0.6169,0.3224,0.7180,0.5083,0.8597,0.0507,0.6009,0.3962,0.6942
44,m036,2.029883,0.725006,0.00e+00,0.6950,0.1874,0.6942,0.4111,0.8956,0.1698,0.5899,0.4034,0.6995
45,m015,2.029883,0.633920,0.00e+00,0.8143,0.5422,0.2072,0.3570,0.7493,0.5577,0.4576,0.3802,0.8038
46,m016,2.029883,0.678022,0.00e+00,0.7271,0.2294,0.6471,0.4224,0.8925,0.1583,0.5412,0.3884,0.7458
47,m010,2.029883,0.726747,0.00e+00,0.5798,0.5930,0.5587,0.5746,0.7838,0.2356,0.5776,0.1844,0.7952
48,m019,2.029883,0.291866,0.00e+00,0.9369,0.3440,0.0629,0.3212,0.9177,0.2338,0.1382,0.1988,0.9702
49,m011,2.029883,0.713351,0.00e+00,0.6717,0.2830,0.6846,0.4510,0.8894,0.0748,0.5877,0.3590,0.7251
